"city","country","weight_variable","score","total_score","a","a2","a1","a3","a4","a5","b","b1","g6","g7","b2","b3","b4","b5","b6","b7","c","c1","c2","c3","c4","c5","d","d1","d2","d3","d4","d5","e","e1","e2","f","f1","f2","f3","f4","f5","f6","g","g1","g2","g3","g4","g5","g8","corridor_length","productivity","demand","system_length","speed","year_system_commenced","pop_density","peak_frequency","peak_load_pax"
"Ahmedabad","India",3,75.33,68.33,93.3,100,100,100,63.5,100,73.87,100,33.33,66.67,0,66.7,100,66.67,66.67,100,54.77,33.33,33.3,100,100,16.67,90,100,100,66.7,100,100,100,100,100,33.37,66.7,55.53,33.3,0,0,0,-17.8,0,-33.33,0,-20,-66.67,-16.67,37.8,1585.4,130000,82,24,2009,4060,20,1780
"Bangkok","Thailand",1,59,59,84.2,100,50,87.5,85.7,100,36.8,0,0,0,0,100,100,0,100,0,35.7,0,0,100,0,100,30,0,100,0,0,0,100,100,100,50,33.3,100,100,0,0,0,0,0,0,0,0,0,0,11.5,980.4,15000,15.3,26,2010,1876,15,1200
"Barranquilla","Colombia",1,82,77,97,100,100,100,83.3,100,79.2,0,100,100,66.7,100,100,100,100,100,78.6,75,33.3,100,100,100,100,100,100,100,100,100,100,100,100,35.7,100,0,66.7,0,0,0,-13.9,0,0,-60,0,-33.3,-12.5,13.2,8214.3,115000,14,22,2010,3650,54,NA
"Beijing","China",1,57,57,60.6,57.1,57.1,85.7,0,100,79.2,100,100,100,0,100,100,100,100,0,35.7,0,0,66.7,100,50,70,100,66.7,100,0,0,100,100,100,7.1,0,0,0,0,50,0,0,0,0,0,0,0,0,59,4094,305000,74.5,26,2004,1006.4,60,8000
"Belo Horizonte","Brazil",1,89,86,94.7,100,100,100,71.4,100,94.7,100,0,0,100,100,100,100,50,100,85.7,100,33.3,100,100,100,100,100,100,100,100,100,100,100,100,57.1,100,66.7,33.3,50,50,0,-6.7,0,0,-40,-20,0,0,6.7,26650.7,1047374,39.3,17.6,1975,524.7,500,35000
"Bogota","Colombia",7,89.29,86.29,98.71,100,100,100,92.84,100,98.21,92.86,100,100,95.24,100,100,100,100,100,72.47,100,0,100,100,57.14,100,100,100,100,100,100,100,100,100,57.16,100,0,100,28.57,NA,0,-8.3,0,0,0,0,-100,0,68.1,19603.5,2213236,112.9,26.2,2000,3347.4,320,48000
"Brisbane","Australia",1,80,77,69.7,100,100,0,100,50,87.5,100,33.3,50,100,100,100,100,100,100,92.9,100,66.7,100,100,100,60,0,100,100,0,0,100,100,100,85.7,100,100,100,100,50,0,-8.3,0,0,0,-40,0,-12.5,16.5,12563.4,356800,28.4,37.5,2000,347.2,295,19900
"Buenos Aires","Argentina",2,66,65.5,71.7,100,100,0,84.5,76.2,71.7,100,50,50,0,0,100,100,100,100,53.6,50,0,100,50,75,85,100,100,83.35,100,0,40,33.3,50,50,83.35,33.3,100,0,25,0,-1.4,0,0,-10,0,0,0,16,15584.4,6e+05,38.5,24,2011,50.7,30,3500
"Cali","Colombia",1,86,82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,71.4,75,0,100,100,100,100,100,100,100,100,100,80,100,50,35.7,100,0,66.7,0,0,0,-11.1,0,0,-20,0,-100,0,39,13068,471361,36.07,17.8,2008,327,25,13000
"Cambridge","United Kingdom",1,66,66,66.7,71.4,71.4,0,100,100,79.2,100,100,100,0,100,100,100,100,0,35.7,0,0,100,0,100,30,0,100,0,0,0,100,100,100,85.7,100,66.7,100,100,100,0,0,0,0,0,0,0,0,26,300,12000,40,60,2011,204,12,NA
"Cape Town","South Africa",1,62.5,62.5,80.3,92.9,100,100,0,100,29.2,0,0,0,0,100,100,0,50,50,57.1,100,33.3,0,100,50,80,0,100,100,100,100,80,100,50,64.3,100,0,100,50,100,0,0,0,0,0,0,0,0,17,1176.5,20000,17,NA,2011,1530,6,NA
"Caracas","Venezuela",1,75,72,97.4,100,87.5,100,100,100,47.4,0,0,0,0,66.7,100,100,50,50,64.3,0,66.7,100,100,100,90,100,100,100,0,100,80,100,50,50,100,66.7,66.7,0,0,0,-6.7,0,0,-60,0,0,0,5.2,5769.2,30000,5.2,NA,2012,4009,NA,NA
"Changde","China",1,58,53,71.1,100,100,50,0,100,57.9,100,0,0,0,100,100,0,100,0,21.4,0,33.3,0,0,100,80,0,100,100,100,100,100,100,100,28.6,0,100,0,0,50,0,-11.1,0,-100,0,0,0,0,18.9,NA,NA,18.9,31,2012,558.2,27,800
"Changzhou","China",1,68,68,81.8,100,100,100,0,100,87.5,100,100,100,0,100,100,100,100,100,28.6,0,33.3,33.3,0,100,90,100,66.7,100,100,100,100,100,100,14.3,0,0,33.3,0,50,0,0,0,0,0,0,0,0,51.9,7014,350000,49.9,18,2008,1237.8,77,NA
"Chengdu","China",1,72,72,100,100,100,100,100,100,57.9,100,0,0,0,100,100,0,100,0,50,0,33.3,100,50,100,50,0,100,0,100,100,100,100,100,42.9,0,100,66.7,0,50,0,0,0,0,0,0,0,0,28.8,NA,NA,28.8,26,2013,1200,40,6650
"Cleveland","United States",1,76,76,87.9,100,100,85.7,50,100,66.7,100,33.3,0,0,100,100,100,100,50,57.1,50,66.7,33.3,50,100,90,100,100,100,100,0,100,100,100,64.3,100,33.3,100,50,50,0,0,0,0,0,0,0,0,15,1386,15800,11.4,17.7,2009,8920.2,10,NA
"Curitiba","Brazil",2,87,87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,60.7,50,50,100,25,75,90,100,83.35,100,50,100,80,100,50,60.7,66.7,100,83.35,0,50,0,0,0,0,0,0,0,0,83.5,6686.5,561000,83.9,NA,1974,179.6,67,12500
"Dalian","China",1,51,51,71.1,87.5,62.5,100,0,100,42.1,100,0,0,0,0,100,0,100,0,42.9,0,0,100,50,100,40,0,33.3,100,0,0,40,33.3,50,28.6,0,66.7,66.7,0,0,0,0,0,0,0,0,0,0,9,6350.4,87000,13.7,24,2008,1165.5,75,6430
"Delhi","India",1,42,30,54.5,100,100,0,0,66.7,58.3,100,33.3,0,0,33.3,100,100,50,100,0,0,0,0,0,0,50,100,0,66.7,100,0,20,0,50,28.6,33.3,0,66.7,0,50,0,-33.3,0,0,-60,-100,-100,-12.5,5.8,NA,NA,NA,NA,NA,NA,NA,NA
"Eugene","United States",1,58,55,60.6,57.1,57.1,85.7,0,100,45.8,0,0,100,0,100,100,100,50,0,35.7,0,66.7,33.3,0,100,70,100,66.7,100,0,0,100,100,100,71.4,100,100,66.7,50,50,0,-8.3,-30,0,0,0,0,0,12.5,529.7,10000,18.88,24,2007,28.8,6,500
"Guadalajara","Mexico",1,93,93,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,100,200,100,80,100,50,50,66.7,66.7,100,0,0,0,0,0,0,0,0,0,0,16,7937.5,127000,16,28,2009,1967.5,12,9000
"Guangzhou","China",1,91,91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,64.3,100,0,100,0,100,100,100,100,100,100,100,80,66.7,100,78.6,33.3,100,66.7,100,100,100,0,0,0,0,0,0,0,22.5,37777.8,850000,22.5,23,2010,1764.2,350,29000
"Guatemala City","Guatemala",2,79,79,93.45,81.25,100,100,85.7,100,73.65,50,0,0,50,100,100,83.35,50,100,64.25,25,100,100,0,100,75,50,100,100,50,0,80,100,50,64.3,83.35,100,100,0,25,0,0,0,0,0,0,0,0,24.7,6000,210000,35,26.5,2007,1420,30,12500
"Guayaquil","Ecuador",2,74.5,67.5,97,100,85.7,100,100,100,81.25,100,100,100,0,66.7,100,100,100,75,35.7,0,0,100,0,100,90,100,100,100,0,100,80,100,50,35.7,100,0,66.7,0,0,0,-19.4,0,0,-60,0,-100,-12.5,30.4,6828.2,310000,45.4,21.5,2006,7227,30,15000
"Hefei","China",1,57,52,52.6,100,50,100,0,0,57.9,100,0,0,0,100,100,0,100,0,85.7,100,33.3,100,100,100,70,0,100,100,100,0,20,0,50,42.9,0,66.7,66.7,0,100,0,-11.1,-30,0,-40,0,0,0,15,9062.5,65250,7.2,16,2010,2401.8,55,3600
"Istanbul","Turkey",1,78,70,97.4,100,100,87.5,100,100,89.5,100,0,0,100,66.7,100,100,100,50,71.4,0,100,100,100,100,50,0,33.3,100,100,0,90,83.3,100,32.1,33.3,83.3,33.3,0,0,0,-17.8,0,0,0,-60,-100,0,52,14423.1,750000,52,35,2007,2523,156,30000
"Jakarta","Indonesia",2,72.5,66,94.15,100,100,100,67.85,100,79.05,100,50,50,0,50,100,100,100,100,35.7,0,0,100,100,0,75,100,66.7,83.35,50,50,80,83.35,75,39.3,66.7,50,66.7,0,0,0,-17.25,0,0,-30,-40,-70,-6.25,25.8,1789.6,370000,206.75,19,2004,3830.4,40,3600
"Jinan","China",5,66.6,65.6,76.96,100,100,100,0,73.36,77.36,80,80,80,0,100,80,80,100,100,47.14,0,33.3,26.64,140,100,82,100,73.36,100,0,100,100,100,100,17.1,0,20,20,0,60,0,-2.22,0,-20,0,0,0,0,41.5,2625.3,220000,83.8,17.5,2008,742.3,49,2050
"Johannesburg","South Africa",2,77.75,68.25,90.5,93.35,100,100,55.95,100,80.6,100,0,25,33.35,83.35,100,100,50,100,71.4,100,50,83.35,100,0,90,50,100,100,100,100,85,100,62.5,35.75,66.7,16.65,83.35,0,0,0,-22.8,0,0,-70,-50,0,-20,42.2,965.5,42000,43.5,30,2009,2696,64,5760
"Lanzhou","China",1,84,84,97,100,100,100,83.3,100,75,100,100,100,0,100,100,0,100,100,78.6,100,33.3,100,50,100,100,100,100,100,100,100,100,100,100,57.1,0,66.7,66.7,100,100,0,0,0,0,0,0,0,0,8.6,31868.1,290000,9.1,22,2013,1264.6,87,6550
"Las Vegas","United States",1,57,54,69.7,85.7,85.7,42.9,50,83.3,50,100,0,0,0,66.7,100,0,100,100,35.7,0,100,33.3,0,50,60,100,33.3,100,0,0,80,100,50,50,100,33.3,66.7,0,50,0,-8.3,0,0,0,-60,0,0,2,542.3,34189,63.05,21,2004,1288.9,NA,NA
"Lianyungang","China",1,64,61,81.6,100,100,100,0,100,57.9,100,0,0,0,100,100,0,100,0,28.6,0,33.3,0,50,100,80,0,100,100,100,100,100,100,100,35.7,0,100,0,0,100,0,-6.7,-30,0,0,0,0,0,32.8,588.2,20000,34,18,2012,805.4,25,1650
"Lima","Peru",1,89,88,97,100,100,100,83.3,100,95.8,100,100,100,100,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,80,100,50,42.9,100,0,66.7,50,0,0,-2.8,0,0,-20,0,0,0,16.8,13461.5,350000,26,25.5,1972,3008.8,117,22800
"Los Angeles","United States",1,65,65,75.8,100,100,85.7,83.3,0,54.2,0,100,100,0,100,0,100,100,0,64.3,100,100,0,0,100,50,0,33.3,100,100,0,100,100,100,57.1,100,0,33.3,100,100,0,0,0,0,0,0,0,0,23,1441,33000,22.9,32,2005,1017,15,NA
"Medellin","Colombia",1,85,85,97,100,100,100,83.3,100,70.8,0,100,100,0,100,100,100,100,100,92.9,75,100,100,100,100,100,100,100,100,100,100,100,100,100,57.1,100,100,66.7,0,0,0,0,0,0,0,0,0,0,12.5,3333.3,60000,18,16,2011,5840,40,2450
"Mexico City","Mexico",7,76.14,74,90.97,91.83,97.96,85.71,78.91,100,74.43,71.43,71.43,71.43,28.57,61.91,85.71,85.71,100,78.57,64.27,28.57,57.16,95.24,71.43,92.86,81.43,100,90.47,100,42.86,0,82.86,100,57.14,45.93,71.44,42.86,71.44,14.29,21.43,14.29,-5.47,-8.57,0,-2.86,0,-28.57,0,133.6,8520,1065000,125,NA,2005,5871,77,12000
"Monterrey","Mexico",1,75,75,97.4,100,100,100,85.7,100,57.9,0,0,0,0,66.7,100,100,100,100,57.1,0,33.3,100,100,100,90,100,100,100,0,100,80,100,50,42.9,66.7,66.7,33.3,50,0,0,0,0,0,0,0,0,0,30,NA,NA,30.1,NA,2014,553.1,NA,NA
"Nantes","France",1,69,69,84.8,100,100,85.7,66.7,66.7,62.5,0,100,100,0,100,100,100,100,0,21.4,0,66.7,33.3,0,0,70,100,66.7,100,0,0,100,100,100,78.6,100,100,100,50,0,100,0,0,0,0,0,0,0,7,3623.2,25000,6.9,21,2006,264.4,17,2000
"Ottawa","Canada",1,64,64,60.6,100,100,0,100,0,70.8,100,66.7,50,66.7,66.7,100,0,100,100,78.6,100,100,100,0,50,70,0,100,100,100,0,80,100,50,35.7,33.3,33.3,100,0,0,0,0,0,0,0,0,0,0,30,6214.7,220000,35.4,45,1983,209.6,180,10500
"Paris","France",1,71,71,73.7,100,100,87.5,71.4,0,73.7,100,0,0,0,100,0,100,100,100,57.1,0,100,100,0,100,80,100,66.7,100,100,0,80,66.7,100,64.3,66.7,100,100,0,50,0,0,0,0,0,0,0,0,16.2,2172.3,89500,41.2,23.5,1993,711.7,17,3000
"Perira","Colombia",1,77,77,100,100,100,100,100,100,79.2,100,100,100,0,66.7,100,100,100,50,50,0,0,100,100,100,90,100,100,100,0,100,80,100,50,35.7,100,0,66.7,0,0,0,0,0,0,0,0,0,0,19.15,6193.5,96000,15.5,20,2006,828.1,42,6900
"Pittsburgh","United States",3,52.33,52.33,60.6,100,100,0,100,0,50,100,33.33,0,66.7,0,100,0,100,50,73.8,100,44.43,100,0,100,63.33,66.67,33.3,100,100,0,0,0,0,26.2,44.43,22.23,44.43,16.67,0,0,0,0,0,0,0,0,0,29.7,1350.4,41861,31,47.2,1977,467.9,30,5000
"Puebla","Mexico",1,73,69,97.4,100,100,100,85.7,100,47.4,0,0,0,0,33.3,100,100,50,100,64.3,0,66.7,100,100,100,80,100,100,100,0,0,80,100,50,42.9,66.7,100,33.3,0,0,0,-8.9,0,0,0,0,0,-40,18.5,7792.7,251704,32.3,NA,2013,76.6,NA,NA
"Quito","Ecuador",3,72.67,67.33,84.57,69.03,79.17,91.67,84.9,100,78.97,75,33.33,33.33,44.43,55.53,100,100,100,100,57.13,16.67,55.57,88.9,83.33,66.67,73.33,100,77.8,66.67,66.67,33.33,53.33,55.57,50,52.37,100,77.77,66.7,0,0,0,-12.6,-6.67,0,-6.67,0,-53.33,-23.33,65.4,12021.6,833095,69.3,17.8,1995,439.8,140,11700
"Rio de Janeiro","Brazil",3,89.33,83.67,100,100,100,100,100,100,98.6,100,33.33,33.33,100,88.9,100,100,100,100,88.1,100,66.7,100,100,66.67,90,100,77.8,100,100,66.67,73.33,100,33.33,54.73,100,55.57,55.57,33.33,33.33,0,-13,0,0,-6.67,-40,-33.33,-17.5,148.4,22375.7,3132600,140,21.8,2011,2208.8,600,65400
"Rouen","France",1,74,73,97,100,100,85.7,100,100,70.8,100,100,100,0,100,100,100,NA,0,14.3,0,0,66.7,0,0,80,100,66.7,100,100,0,80,66.7,100,78.6,100,100,100,50,50,0,-2.8,0,0,-20,0,0,0,13,1350.5,42000,31.1,17.5,2001,275.8,30,NA
"San Bernardino","United States",1,66,63,84.2,100,100,87.5,28.6,100,42.1,0,-100,0,0,100,100,100,0,0,64.3,0,100,100,100,50,50,0,66.7,100,0,0,100,100,100,50,100,0,100,50,0,0,-6.7,0,0,0,0,0,0,8.3,NA,NA,25.7,NA,2014,59.5,6,NA
"Santiago","Chile",2,56.5,56.5,56.6,100,93.75,0,85.7,0,73.7,100,0,0,0,100,100,100,100,0,50,100,0,100,0,0,70,100,33.3,100,100,0,40,66.7,0,35.7,33.3,66.7,66.7,0,0,0,0,0,0,0,0,0,0,25.2,3710.4,340800,91.85,26.2,2006,448,185,13500
"Sao Paulo","Brazil",2,70,70,80.3,100,100,57.15,91.65,50,85.4,100,100,75,0,100,100,100,100,100,53.55,0,66.7,100,25,100,65,50,66.65,100,50,0,70,83.35,50,39.3,50,33.3,100,0,0,0,0,0,0,0,0,0,0,13,24607.1,3194000,129.8,19.3,1980,2532.9,269,28024
"Seattle","United States",1,60.5,55.5,60.5,100,100,0,100,0,89.5,100,-100,-100,100,100,100,100,100,0,57.1,0,100,100,0,100,45,100,50,0,100,0,20,0,50,50,50,100,50,0,50,0,-11.1,0,0,0,0,0,0,5.3,NA,NA,NA,NA,NA,NA,NA,NA
"Seoul","South Korea",7,57.29,51.29,56.39,98.21,92.86,0,87.74,0,80.41,100,0,0,9.53,66.7,100,100,100,100,57.1,0,100,100,0,100,40,100,33.3,0,100,0,40,0,100,46.96,19.06,100,100,0,0,0,-13.3,-60,0,0,0,0,0,68.7,9302.3,4e+05,43,17,2004,2176,NA,8400
"Surat","India",1,66,58,92.1,100,87.5,100,71.4,100,26.3,0,-66.7,0,0,33.3,100,0,50,50,71.4,100,0,66.7,100,100,70,100,100,0,100,100,100,100,100,28.6,66.7,0,33.3,0,50,0,-17.8,0,-100,-20,0,0,0,10,1350,13500,10,NA,2014,1089.9,6,NA
"Urumqi","China",1,70,60,81.6,100,100,100,0,100,84.2,100,0,0,0,100,100,100,100,100,28.6,0,0,0,100,100,100,100,100,100,100,100,100,100,100,28.6,0,100,33.3,0,0,0,-22.2,-100,0,0,0,0,0,15.5,9452.7,380000,40.2,13,2011,263,87,6950
"Xiamen","China",1,77,74,100,100,100,100,100,100,78.9,100,0,0,66.7,100,100,0,100,100,50,0,33.3,100,50,100,80,0,100,100,100,100,100,100,100,28.6,0,100,33.3,0,0,0,-6.7,0,0,0,0,-60,0,51,6953,340000,48.9,27,2008,1213.7,104,8360
"Yancheng","China",1,58,55,81.6,100,100,100,0,100,47.4,100,0,0,0,100,0,0,100,0,21.4,0,0,0,50,100,90,100,100,100,0,100,60,66.7,50,21.4,0,66.7,33.3,0,0,0,-6.7,-30,0,0,0,0,0,16,2062.5,33000,16,18,2010,895.8,30,1300
"Yinchuan","China",1,62,56,76.3,100,100,100,0,71.4,57.9,100,0,0,0,100,100,0,100,0,28.6,0,33.3,0,50,100,100,100,100,100,100,100,60,33.3,100,35.7,0,100,33.3,0,50,0,-13.3,-60,0,0,0,0,0,17,5117.6,87000,17,15,2012,433.7,63,3600
"Zaozhuang","China",3,58.33,52,76.33,87.5,100,87.5,0,100,52.6,33.33,-100,0,33.33,100,33.33,0,100,100,21.4,0,0,0,50,100,76.67,0,100,100,100,66.67,80,100,50,33.33,0,66.7,66.7,0,33.33,0,-14.1,0,-66.67,0,0,0,0,84.2,909.1,30000,33,30,2010,735.6,27,700
"Zhengzhou","China",1,65,59,81.6,100,100,100,0,100,57.9,100,0,0,0,100,100,0,100,0,21.4,0,0,0,50,100,100,100,100,100,100,100,100,100,100,35.7,0,100,33.3,0,50,0,-13.3,-60,0,0,0,0,0,30.5,21311.5,650000,30.5,15,2009,5813.9,52,5600
"Zhongshan","China",1,67,62,81.6,100,100,100,0,100,57.9,100,0,0,0,100,100,0,100,0,35.7,0,33.3,0,100,100,80,0,100,100,100,100,100,100,100,50,33.3,100,100,0,0,0,-11.1,0,-100,0,0,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA
