Region,Country,City,Corridor,Value,Year,Source
Africa,Nigeria,Lagos,Lagos BRT,,,
Africa,South Africa,Cape Town,1A,,,
Africa,South Africa,Johannesburg,1A,5760,2013,www.embarq.org
Africa,South Africa,Johannesburg,1B,,,
Asia,China,Beijing,BRT 1,8000,2011,Jane's Urban Transport Systems
Asia,China,Beijing,BRT 2,,,
Asia,China,Beijing,BRT 3,,,
Asia,China,Beijing,BRT 4,,,
Asia,China,Changde,Line 1,800,2013,www.chinabrt.org
Asia,China,Changzhou,Line 1,,,
Asia,China,Changzhou,Line 2,,,
Asia,China,Chengdu,2nd Ring Elevated Road,6650,2013,www.worldbrt.net
Asia,China,Chongqing,Chongqing BRT,,,
Asia,China,Dalian,Dalian BRT,6430,2014,www.chinabrt.org
Asia,China,Guangzhou,Zhongshan Avenue,29000,2013,www.embarq.org
Asia,China,Hangzhou,Line 1,,,
Asia,China,Hangzhou,Line 2,,,
Asia,China,Hangzhou,Line 3,,,
Asia,China,Hefei,Changjiang Lu,3600,2011,www.chinabrt.org
Asia,China,Jinan,BRT-1,,,
Asia,China,Jinan,BRT-2,,,
Asia,China,Jinan,BRT-3,,,
Asia,China,Jinan,BRT-4,,,
Asia,China,Jinan,BRT-5,,,
Asia,China,Jinan,BRT-6,,,
Asia,China,Jinan,BRT-7,,,
Asia,China,Kunming,,6300,2007,Bus Rapid Transit Planning Guide (ITDP) 2007 ;www.chinabrt.org
Asia,China,Lanzhou,Line 1,6550,2013,www.chinabrt.org
Asia,China,Lianyungang,Line 1,1650,2013,www.chinabrt.org
Asia,China,Urumqi,Line 1,,,
Asia,China,Urumqi,Line 2,,,
Asia,China,Urumqi,Line 3,,,
Asia,China,Urumqi,Line 4,,,
Asia,China,Xiamen,Line 1,,,
Asia,China,Xiamen,Line 2,,,
Asia,China,Xiamen,Line 3,,,
Asia,China,Yancheng,Line 1,1300,2011,www.chinabrt.org
Asia,China,Yichang,Phase 1,5400,2015,www.chinabrt.org
Asia,China,Yinchuan,Line 1,3600,2012,www.chinabrt.org
Asia,China,Zaozhuang,Line 1,700,2011,www.chinabrt.org
Asia,China,Zhengzhou,Line 1,5600,2011,www.chinabrt.org
Asia,India,Ahmedabad,,1780,2013,www.embarq.org
Asia,India,Bhopal,,,,
Asia,India,Indore,,,,
Asia,India,Jaipur,,1046,2011,"Primary Survey, EMBARQ"
Asia,India,Pune,,5720,2011,"Primary Survey, EMBARQ"
Asia,India,Rajkot,,,,
Asia,India,Surat,Udhna Darwaza to Sachin GIDC,,,
Asia,Indonesia,Jakarta,Koridor 1,,,
Asia,Indonesia,Jakarta,Koridor 2,,,
Asia,Indonesia,Jakarta,Koridor 3,,,
Asia,Indonesia,Jakarta,Koridor 4,,,
Asia,Indonesia,Jakarta,Koridor 5,,,
Asia,Indonesia,Jakarta,Koridor 6,,,
Asia,Indonesia,Jakarta,Koridor 7,,,
Asia,Indonesia,Jakarta,Koridor 8,,,
Asia,Indonesia,Jakarta,Koridor 9,,,
Asia,Indonesia,Jakarta,Koridor 10,,,
Asia,Indonesia,Jakarta,Koridor 11,,,
Asia,Indonesia,Jakarta,Koridor 12,,,
Asia,Iran,Tabriz,,,,
Asia,Iran,Tehran,Line 1,,,
Asia,Iran,Tehran,Line 2,,,
Asia,Iran,Tehran,Line 3,,,
Asia,Iran,Tehran,Line 4,,,
Asia,Iran,Tehran,Line 5,,,
Asia,Iran,Tehran,Line 7,,,
Asia,Iran,Tehran,Line 8,,,
Asia,Iran,Tehran,Line 10,,,
Asia,Israel,Haifa,The Red Line,,,
Asia,Israel,Haifa,The Blue Line,,,
Asia,Israel,Haifa,The Green Line,,,
Asia,Japan,Kesennuma - Tome,Kesennuma Line,,,
Asia,Japan,Nagoya,Yutorito Line,750,2007,Bus Rapid Transit Planning Guide (ITDP) 2007 ;www.chinabrt.org
Asia,Malaysia,Subang Jaya,BRT Sunway Line,,,
Asia,Pakistan,Islamabad - Rawalpindi,Rawalpindi - Islmabad,2100,2015,www.worldbrt.net
Asia,Pakistan,Lahore,,10000,2015,en.wikipedia.org
Asia,Republic of Korea,Seoul,,8400,2011,Bus Rapid Transit Planning Guide (ITDP) 2007 ;www.chinabrt.org
Asia,Taiwan,Chiayi,Chiayi BRT,,,
Asia,Taiwan,Taichung,Blue Line,,,
Asia,Taiwan,Taipei,,9500,2007,Bus Rapid Transit Planning Guide (ITDP) 2007
Asia,Thailand,Bangkok,Bangkok BRT,1200,2011,www.chinabrt.org
Europe,Belgium,Liège,d’Avroy - Sauvenière,,,
Europe,Belgium,Liège,Cadran - Fontainebleau,,,
Europe,Belgium,Liège,Quai Saint-Léonard,,,
Europe,Czech Republic,Prague,Line 213,,,
Europe,Finland,Helsinki,Runkolinja 550,,,
Europe,France,Belfort,Optymo BHNS,,,
Europe,France,Caen,Twisto TVR,,,
Europe,France,Cannes,Ligne 1,,,
Europe,France,Châlon-sur-Saône,Flash,,,
Europe,France,Douai,,,,
Europe,France,Evry,Tice,,,
Europe,France,La Rochelle,,,,
Europe,France,Lille,,,,
Europe,France,Lorient,The Triskell,,,
Europe,France,Lyon,C-Lines,,,
Europe,France,Maubeuge,BHLS - Viavil,,,
Europe,France,Metz,Ligne A,,,
Europe,France,Metz,Ligne B,,,
Europe,France,Nancy,TVR (GLT),,,
Europe,France,Nantes,BusWay,2000,2011,COST - European Cooperation in Science and Technology
Europe,France,Nice,,,,
Europe,France,Nîmes,Tango+ T1,,,
Europe,France,Paris,T Zen 1,,,
Europe,France,Paris,"Ligne 393, RATP",,,
Europe,France,Paris,TVM,3000,2011,COST - European Cooperation in Science and Technology
Europe,France,Rouen,T1,,,
Europe,France,Rouen,T2,,,
Europe,France,Rouen,T3,,,
Europe,France,Saint-Nazaire,Hélyce,,,
Europe,France,Strasbourg,Ligne G,,,
Europe,France,Toulouse,,,,
Europe,Germany,Essen,The Spurbus,,,
Europe,Germany,Hamburg,Line 5,,,
Europe,Germany,Oberhausen,ÖPNV-Trasse,,,
Europe,Ireland,Dublin,,6400,2009,"Heddebaut O. et. al ""The European Bus with a High Level of Service (BHLS): Concept and Practice"", Built Environment Vol 36, No. 3, 2010"
Europe,Italy,Brescia,LAM1,,,
Europe,Italy,Brescia,LAM2,,,
Europe,Italy,Prato,Blu,,,
Europe,Italy,Prato,Arancio,,,
Europe,Italy,Prato,Rossa,,,
Europe,Netherlands,Almere,Line 1,,,
Europe,Netherlands,Amsterdam,Zuidtangent,960,2011,ITDP
Europe,Netherlands,Eindhoven,Phileas,,,
Europe,Netherlands,Enschede,Line 2,,,
Europe,Netherlands,Enschede,Line3,,,
Europe,Netherlands,Utrecht,,,,
Europe,Portugal,Lisbon,24 de Julho Corridor (mixed traffic with 10 tramways),12000,2011,European Cooperation in Science and Technology. 2011. Buses with High Level Service – Fundamental characteristics and recommendations for decision-making and research.
Europe,Spain,Barcelona,Línia 64: Barceloneta - Pedralbes,1220,2011,COST - European Cooperation in Science and Technology
Europe,Spain,Castellon,Line 1,,,
Europe,Spain,Madrid,Bus VAO,7500,2011,COST - European Cooperation in Science and Technology
Europe,Spain,Granada,LAC,,,
Europe,Sweden,Gothenburg,Stombuss,,,
Europe,Sweden,Jonkoping,Line1,,,
Europe,Sweden,Jonkoping,Line2,,,
Europe,Sweden,Jonkoping,Line3,,,
Europe,Sweden,Stockholm,,,,
Europe,Switzerland,Zurich,Line 31,1300,2011,COST - European Cooperation in Science and Technology
Europe,Turkey,Istanbul,TUYAP - Sogutlucesme Metrobus Corridor,30000,2013,Levinson H. et. al - A Bus Rapid Transit Line Case Study: Istanbul’s Metrobüs SystemLevinson H. et. al - A Bus Rapid Transit Line Case Study: Istanbul’s Metrobüs SystemLevinson H. et. al - A Bus Rapid Transit Line Case Study: Istanbul’s Metrobüs System
Europe,United Kingdom,Bradford,Manchester Road,,,
Europe,United Kingdom,Cambridge,The Busway,,,
Europe,United Kingdom,Crawley,,,,
Europe,United Kingdom,Edinburgh,,,,
Europe,United Kingdom,Fareham - Gosport,Eclipse,,,
Europe,United Kingdom,Kent,Fastrack,,,
Europe,United Kingdom,Leeds,,,,
Europe,United Kingdom,London,,,,
Europe,United Kingdom,Luton,,,,
Europe,United Kingdom,Manchester,A6 Corridor,,,
Europe,United Kingdom,Runcorn,,,,
Europe,United Kingdom,Swansea,,,,
Europe,United Kingdom,York,FTR,,,
Latin America,Argentina,Buenos Aires,Sur - Ramal Coronel Roca,,,
Latin America,Argentina,Buenos Aires,Sur - Ramal Fernandéz de la Cruz,,,
Latin America,Argentina,Buenos Aires,9 de Julio,,,
Latin America,Argentina,Buenos Aires,Juan B. Justo,3500,2013,movilidad.buenosaires.gob.ar
Latin America,Argentina,Córdoba,Sabattini,,,
Latin America,Argentina,Rosario,Santa Fé - Maipú,,,
Latin America,Argentina,Rosario,San Lorenzo - Laprida,,,
Latin America,Argentina,Rosario,Córdoba,,,
Latin America,Brazil,Belém,Almirante Barroso,,,
Latin America,Brazil,Belo Horizonte,MOVE - Antônio Carlos,,,
Latin America,Brazil,Belo Horizonte,MOVE - Cristiano Machado,3500,2014,www.bhtrans.pbh.gov.br
Latin America,Brazil,Belo Horizonte,Nossa Senhora do Carmo,5500,2012,BHTrans
Latin America,Brazil,Belo Horizonte,Boulevard Arrudas,,,
Latin America,Brazil,Belo Horizonte,MOVE - Área Central,,,
Latin America,Brazil,Belo Horizonte,Amazonas,35000,2012,BHTrans
Latin America,Brazil,Belo Horizonte,Pedro II,,,
Latin America,Brazil,Blumenau,Rua 7 de Setembro,,,
Latin America,Brazil,Blumenau,Av. Martin Luther,,,
Latin America,Brazil,Blumenau, Av. Presidente Castelo Branco (Beira-Rio),,,
Latin America,Brazil,Blumenau,Rua 2 de Setembro,,,
Latin America,Brazil,Blumenau,Rua São Paulo - Iguaçu (Henrique Classen),,,
Latin America,Brazil,Blumenau,Rua São Paulo - Antônio da Veiga (Castelo Branco),,,
Latin America,Brazil,Blumenau,Rua Eng Paul Werner,,,
Latin America,Brazil,Blumenau,Rua das Palmeiras,,,
Latin America,Brazil,Brasília,Expresso DF Sul,,,
Latin America,Brazil,Brasília,Estrada Parque Núcleo Bandeirante,,,
Latin America,Brazil,Brasília,W3 Norte,,,
Latin America,Brazil,Brasília,W3 Sul,,,
Latin America,Brazil,Brasília,Setor Policial,,,
Latin America,Brazil,Brasília,Estrada Parque Taguatinga-Guará,,,
Latin America,Brazil,Campinas,Av. Amoreiras,,,
Latin America,Brazil,Campinas,Av. João Jorge,,,
Latin America,Brazil,Campinas,Corredor Central,,,
Latin America,Brazil,Campo Grande,Duque de Caxias,,,
Latin America,Brazil,Campo Grande,Rui Barbosa,,,
Latin America,Brazil,Campo Grande,Av. Calógeras,,,
Latin America,Brazil,Campo Grande,Rua 26 de Agosto,,,
Latin America,Brazil,Caxias do Sul,Pinheiro Machado,,,
Latin America,Brazil,Caxias do Sul,Marechal Floriano,,,
Latin America,Brazil,Caxias do Sul,Moreira Cesar - Centro Bairro,,,
Latin America,Brazil,Caxias do Sul,Pio 12 - Moreira,,,
Latin America,Brazil,Caxias do Sul,18 do Forte,,,
Latin America,Brazil,Caxias do Sul,Sinimbu,,,
Latin America,Brazil,Caxias do Sul,Bento,,,
Latin America,Brazil,Criciúma,Av. Centenário,,,
Latin America,Brazil,Curitiba,Linha Verde,3000,2013,URBS - Unidade de Gestão de Informação
Latin America,Brazil,Curitiba,Boqueirão,7471,2013,URBS - Unidade de Gestão de Informação
Latin America,Brazil,Curitiba,Leste,10000,2013,URBS - Unidade de Gestão de Informação
Latin America,Brazil,Curitiba,Oeste,3500,2013,URBS - Unidade de Gestão de Informação
Latin America,Brazil,Curitiba,Norte,5500,2013,URBS - Unidade de Gestão de Informação
Latin America,Brazil,Curitiba,Sul,12500,2013,URBS - Unidade de Gestão de Informação
Latin America,Brazil,Curitiba,Rua XV de Novembro,,,
Latin America,Brazil,São Paulo - Metropolitan area,Corredor Metropolitano ABD,,,
Latin America,Brazil,Feira de Santana,Av. Senhor dos Passos,,,
Latin America,Brazil,Fortaleza,Av. João Pessoa,10000,,Phone conversation
Latin America,Brazil,Fortaleza,Av. Bezerra de Menezes,,,
Latin America,Brazil,Goiânia,Leste Oeste (Eixo Anhanguera),20000,,RMTC
Latin America,Brazil,Goiânia,80-90 Goiás,8000,,RMTC
Latin America,Brazil,Goiânia,Universitário,,,
Latin America,Brazil,Guarulhos,Guarulhos,,,
Latin America,Brazil,Jaboatão dos Guararapes,Av. Ayrton Senna,,,
Latin America,Brazil,João Pessoa,Av. Epitácio Pessoa - Av. Miguel Couto - Av. Sanhauá - Rua Guedes Pereira,37070,2012,Semob-JP
Latin America,Brazil,Joinville,Avenida JK,,,
Latin America,Brazil,Joinville,João Colim,,,
Latin America,Brazil,Joinville,Blumenau,,,
Latin America,Brazil,Joinville,Santa Catarina,,,
Latin America,Brazil,Joinville,São Paulo,,,
Latin America,Brazil,Juiz de Fora,Av. Barão do Rio Branco,,,
Latin America,Brazil,Londrina,Rua João Cândido,,,
Latin America,Brazil,Londrina,Rua Duque de Caxias,,,
Latin America,Brazil,Londrina,Winston Churchill,,,
Latin America,Brazil,Maceió,Av. Fernandes Lima,,,
Latin America,Brazil,Natal,Av. Bernardo Vieira,,,
Latin America,Brazil,Niterói,Corredor Metropolitano Alameda São Boaventura,,,
Latin America,Brazil,Olinda,Av. Pan Nordestina - PE 15,,,
Latin America,Brazil,Porto Alegre,Av. Farrapos,16800,2012,EPTC
Latin America,Brazil,Porto Alegre,Av. Assis Brasil,16300,2012,EPTC
Latin America,Brazil,Porto Alegre,Av. Sertório,4400,2012,EPTC
Latin America,Brazil,Porto Alegre,Av. Baltazar Garcia,12100,2012,EPTC
Latin America,Brazil,Porto Alegre,III Perimetral,6400,2012,EPTC
Latin America,Brazil,Porto Alegre,Av. Aureliano de Figueiredo Pinto - Av. Érico Veríssimo (Cascatinha),1900,2012,EPTC
Latin America,Brazil,Porto Alegre,Av. João Pessoa,14600,2012,EPTC
Latin America,Brazil,Porto Alegre,Av. Azenha - Av. Bento,7000,2012,EPTC
Latin America,Brazil,Porto Alegre,Av. Bento Gonçalves,16000,2012,EPTC
Latin America,Brazil,Porto Alegre,Av. Osvaldo Aranha - Av. Protásio Alves,11400,2012,EPTC
Latin America,Brazil,Porto Alegre,Av. Cristovão Colombo,1900,2012,EPTC
Latin America,Brazil,Porto Alegre,Av. Independência,600,2012,EPTC
Latin America,Brazil,Porto Alegre,Av. Teresópolis - Av. Nonoai - Av. Cavalhada,,,
Latin America,Brazil,Porto Alegre,Av. Brasil,,,
Latin America,Brazil,Recife,Via Livre Leste-Oeste,,,
Latin America,Brazil,Recife,Via Livre Norte-Sul,,,
Latin America,Brazil,Recife,Av. Conde do Boa Vista,,,
Latin America,Brazil,Recife,Av. Sul,,,
Latin America,Brazil,Rio de Janeiro,TransOeste,13000,2015,BRT Rio
Latin America,Brazil,Rio de Janeiro,TransCarioca,11000,2015,BRT Rio
Latin America,Brazil,Rio de Janeiro,BRS Copacabana - Av. Nossa Senhora de Copacabana,14100,2012,NTU
Latin America,Brazil,Rio de Janeiro,BRS Copacabana - Rua Barata Ribeiro,14100,2012,NTU
Latin America,Brazil,Rio de Janeiro,BRS Ipanema/Leblon - Rua Visconde de Pirajá (Rua Ataulfo de Paiva),11350,2012,NTU
Latin America,Brazil,Rio de Janeiro,BRS Ipanema/Leblon - Rua Prudente de Morais (General San Martin),11350,2012,NTU
Latin America,Brazil,Rio de Janeiro,BRS Antônio Carlos,31300,2012,NTU
Latin America,Brazil,Rio de Janeiro,BRS Rio Branco,36900,2012,NTU
Latin America,Brazil,Rio de Janeiro,BRS Presidente Vargas,65400,2012,NTU
Latin America,Brazil,Rio de Janeiro,BRS Estácio,,,
Latin America,Brazil,Rio de Janeiro,BRS Tijuca,,,
Latin America,Brazil,Rio de Janeiro,BRS 24 de maio,,,
Latin America,Brazil,Rio de Janeiro,BRS Carioca,,,
Latin America,Brazil,Rio de Janeiro,BRS Marechal Rondon,,,
Latin America,Brazil,Rio de Janeiro,BRS Botafogo - Voluntários,,,
Latin America,Brazil,Rio de Janeiro,BRS Botafogo - São Clemente,,,
Latin America,Brazil,Salvador,Av. Tancredo Neves - Av. Luis Viana Filho (Paralela),,,
Latin America,Brazil,Salvador,Av. Vasco da Gama,,,
Latin America,Brazil,Salvador,Av. Mario Leal Ferreira (Bonoco),,,
Latin America,Brazil,Santos,Ana Costa,,,
Latin America,Brazil,São Paulo,Campo Limpo - Rebouças - Centro,18000,2011,SPTrans
Latin America,Brazil,São Paulo,Expresso Tiradentes (Eixo Sudeste),6180,2011,SPTrans
Latin America,Brazil,São Paulo,Inajar - Rio Branco - Centro,1500,2011,SPTrans
Latin America,Brazil,São Paulo,Itapecerica - João Dias - Santo Amaro,13359,2011,SPTrans
Latin America,Brazil,São Paulo,Paes de Barros,3370,2011,SPTrans
Latin America,Brazil,São Paulo,Parelheiros - Rio Bonito - Santo Amaro,25025,2011,SPTrans
Latin America,Brazil,São Paulo,Pirituba - Lapa - Centro,14000,2011,SPTrans
Latin America,Brazil,São Paulo,Santo Amaro - Nove de Julho - Centro,26000,2011,SPTrans
Latin America,Brazil,São Paulo,Ver. José Diniz - Ibirapuera - Santa Cruz,28024,2011,SPTrans
Latin America,Brazil,São Paulo,Jd. Ângela - Guarapiranga - Santo Amaro,24428,2011,SPTrans
Latin America,Brazil,Sorocaba,Hermelino Matarazzo,,,
Latin America,Brazil,Sorocaba,Comendador Oeterer,,,
Latin America,Brazil,Sumaré,Corredor Metropolitano Noroeste,,,
Latin America,Brazil,Teresina,Av. Frei Serafim,,,
Latin America,Brazil,Uberaba,Leste/Oeste,,,
Latin America,Brazil,Uberlândia,Estrutural Sudeste,3583,2013,www.uberlandia.mg.gov.br
Latin America,Chile,Santiago,Avenida Grecia,4400,2012,Transantiago
Latin America,Chile,Santiago,Pajaritos Norte,12700,2012,Transantiago
Latin America,Chile,Santiago,Santa Rosa Norte,13500,2013,SUBUS
Latin America,Chile,Santiago,Blanco Encalada - Arica,,,
Latin America,Chile,Santiago,Santa Rosa Sur,,,
Latin America,Chile,Santiago,Vicuña Mackenna Norte,,,
Latin America,Chile,Santiago,Anillo Intermedio Norte,,,
Latin America,Chile,Santiago,Las Industrias,,,
Latin America,Chile,Santiago,Departamental Poniente,,,
Latin America,Chile,Santiago,Dorsal,,,
Latin America,Chile,Santiago,Pedro Aguirre Cerda,4500,2012,Transantiago
Latin America,Chile,Santiago,Suiza - Las Rejas,3800,2012,Transantiago
Latin America,Chile,Santiago,Vicuña Mackenna Sur,5300,2012,Transantiago
Latin America,Chile,Santiago,Pajaritos Sur,4300,2012,Transantiago
Latin America,Colombia,Barranquilla,Troncal Murillo,,,
Latin America,Colombia,Barranquilla,Troncal Olaya,,,
Latin America,Colombia,Bogotá,Calle 80,23400,2013,TransMilenio
Latin America,Colombia,Bogotá,Caracas,48000,2013,TransMilenio
Latin America,Colombia,Bogotá,Caracas Sur,33300,2013,TransMilenio
Latin America,Colombia,Bogotá,Eje Ambiental,7600,"2013, aproximate demand",TransMilenio
Latin America,Colombia,Bogotá,Norte,39600,2013,TransMilenio
Latin America,Colombia,Bogotá,Américas,24450,2013,TransMilenio
Latin America,Colombia,Bogotá,NQS Central,19000,"2013, together corridors NQS Central and NQS Sur carries 19000 passenger",TransMilenio
Latin America,Colombia,Bogotá,NQS Sur,19000,"2013, together corridors NQS Central and NQS Sur carries 19000 passenger",TransMilenio
Latin America,Colombia,Bogotá,Suba,20100,2013,TransMilenio
Latin America,Colombia,Bogotá,Calle 26,,,
Latin America,Colombia,Bogotá,Carrera 10,,,
Latin America,Colombia,Bucaramanga,Metrolínea,4525,2011,Metrolínea
Latin America,Colombia,Cali,Avenida 3,,,
Latin America,Colombia,Cali,Centro (Calle 13/Calle 15),,,
Latin America,Colombia,Cali,Carrera 1,,,
Latin America,Colombia,Cali,Calle 5,,,
Latin America,Colombia,Cali,Carrera 15,,,
Latin America,Colombia,Cali,Aguablanca,,,
Latin America,Colombia,Medellín,Línea 1,2450,2013,Metroplús
Latin America,Colombia,Medellín,Línea 2,,,
Latin America,Colombia,Pereira,Ruta 1,,,
Latin America,Colombia,Pereira,Ruta 2,,,
Latin America,Colombia,Pereira,Ruta 3,,,
Latin America,Ecuador,Guayaquil,Guasmo - Río Daule,5030,,Metrovía
Latin America,Ecuador,Guayaquil,Bastión Popular - Centro,5720,,Metrovía
Latin America,Ecuador,Guayaquil,25 de Julio - Río Daule,15000,2013,www.eluniverso.com
Latin America,Ecuador,Quito,Ecovía (North Eastern Corridor),6800,2011,"Eduardo Sierra, Trolebus"
Latin America,Ecuador,Quito,TroleBús,11700,2011,"Eduardo Sierra, Trolebus"
Latin America,Ecuador,Quito,Central Norte,7300,2011,Empresa Pública Metropolitana de Transporte de Pasajeros de Quito (EPMTPQ)
Latin America,Ecuador,Quito,Sur Oriental,3050,2011,Empresa Pública Metropolitana de Transporte de Pasajeros de Quito (EPMTPQ)
Latin America,Ecuador,Quito,Sur Occidental,9300,2012,Empresa Pública Metropolitana de Transporte de Pasajeros de Quito (EPMTPQ)
Latin America,El Salvador,Gran San Salvador,Corredor SITRAMSS,3000,2015,www.vmt.gob.sv
Latin America,Guatemala,Guatemala,Ramal Central,,,
Latin America,Guatemala,Guatemala,Ramal Sur,12500,,www.un.org
Latin America,Mexico,Chihuahua,ViveBús,,,
Latin America,Mexico,Ecatepec,Linea I: Ciudad Azteca - Ojo de Agua,9000,2012,www.transmasivo.com.mx
Latin America,Mexico,Guadalajara,Línea 1,9000,2010,Macrobus
Latin America,Mexico,Guadalupe,Guadalupe,,,
Latin America,Mexico,León de los Aldama,Sistema Integrado de Transporte Optibus,7000,,Dirección General de Movilidad
Latin America,Mexico,Mexico City,"Línea 1, Indios Verdes - Caminero",12000,2014,METROBÚS
Latin America,Mexico,Mexico City,"Línea 2, Tacubaya - Tepalcates",6500,2014,METROBÚS
Latin America,Mexico,Mexico City,"Línea 3, Tenayuca - Etiopia II",5000,2014,METROBÚS
Latin America,Mexico,Mexico City,"Línea 4, Buenavista - San Lázaro - Aeropuerto",1000,2014,METROBÚS
Latin America,Mexico,Mexico City,"Línea 5, Río de los Remedios - San Lázaro",5400,2014,METROBÚS
Latin America,Mexico,Juárez,ViveBús,,,
Latin America,Mexico,Monterrey,Ecovía,,,
Latin America,Mexico,Nezahualcoyotl,Linea III: Chimalhuacán - Pantitlán,,,
Latin America,Mexico,Puebla,Línea 1,,,
Latin America,Mexico,Puebla,Línea 2,,,
Latin America,Panama,Panama,Cinta Costera,9500,,i-rooms.net
Latin America,Peru,Lima,COSAC I,22800,,Instituto Metropolitano PROTRANSPORTE de Lima 
Latin America,Trinidad and Tobago,Port of Spain - Arima,Priority Bus Route,,,
Latin America,Uruguay,Montevideo,Corredor Garzón,,,
Latin America,Venezuela,Caracas,Línea 7,,,
Latin America,Venezuela,Merida,Trolebús de Mérida - Línea 1,9000,2012,"María Alejandra Guilarte Castro, Former president of Trolmerida"
Latin America,Venezuela,Barquisimeto,Ruta 1,,,
Latin America,Venezuela,Barquisimeto,Ruta 2,,,
Northern America,Canada,Brampton,Queen East,1343,2015,Brampton Transit
Northern America,Canada,Brampton,Main,1010,2015,Brampton Transit
Northern America,Canada,Brampton,Steeles East,873,2015,Brampton Transit
Northern America,Canada,Brampton,Bovaird Drive,196,2015,Brampton Transit
Northern America,Canada,Gatineau,Rapibus,3500,2013,www.sto.ca
Northern America,Canada,Halifax,,,,
Northern America,Canada,Ottawa,Transitway,10500,2013,www.octranspo1.com
Northern America,Canada,Vancouver,Broadway Corridor,,,
Northern America,Canada,Waterloo,200 iXpress,,,
Northern America,Canada,Waterloo,201 iXpress,,,
Northern America,Canada,Winnipeg,RT,,,
Northern America,Canada,York Regional Municipality,Line2,,,
Northern America,United States,Albuquerque,The Red Line (766),,,
Northern America,United States,Boston,Silver Line Waterfront,,,
Northern America,United States,Boston,Silver Line Washington Street,,,
Northern America,United States,Chicago,Jeffery Jump,,,
Northern America,United States,Cleveland,HealthLine,,,
Northern America,United States,Eugene,Green Line,500,2007,Bus Rapid Transit Planning Guide (ITDP) 2007
Northern America,United States,Eugene,Gateway Line,,,
Northern America,United States,Everett,,,,
Northern America,United States,Kansas City,Main Street,,,
Northern America,United States,Kansas City,Troost Avenue,,,
Northern America,United States,Las Vegas,MAX (Metropolitan Area Express),,,
Northern America,United States,Las Vegas,SDX (Strip & Downtown Express),,,
Northern America,United States,Las Vegas,SX (Sahara Express),,,
Northern America,United States,Los Angeles,Orange Line,,,
Northern America,United States,Miami,South Miami-Dade Busway,,,
Northern America,United States,New York,Bx12 SBS (Fordham Road - Pelham Pkwy),,,
Northern America,United States,New York,M15 SBS (1st/2nd Ave),,,
Northern America,United States,New York,M34/M34A SBS (34th Street),,,
Northern America,United States,New York,S79 SBS (Hylan Boulevard),,,
Northern America,United States,New York,B44 SBS (Nostrand Avenue),,,
Northern America,United States,New York,Bx41 SBS (Webster Avenue),,,
Northern America,United States,Oakland,San Pablo Rapid,,,
Northern America,United States,Orlando,LYNX Lymmo,,,
Northern America,United States,Phoenix,,,,
Northern America,United States,Pittsburgh,MLK East Busway,5000,2007,Bus Rapid Transit Planning Guide (ITDP) 2007
Northern America,United States,Pittsburgh,South Busway,1650,2007,Bus Rapid Transit Planning Guide (ITDP) 2007
Northern America,United States,Pittsburgh,West Busway,1365,2007,Bus Rapid Transit Planning Guide (ITDP) 2007
Northern America,United States,San Bernardino,sbX,,,
Northern America,United States,San Diego,UTC Transit Center – UCSD,,,
Northern America,United States,San Diego,UTC East Loop,,,
Northern America,United States,Snohomish County,,,,
Northern America,United States,Stockton,Route #40 - Pacific Corridor,,,
Northern America,United States,Stockton,Route #43 - Hammer Corridor,,,
Northern America,United States,Stockton,Route #44 - Airport Corridor,,,
Oceania,Australia,Adelaide,North East Busway,6700,2012,"Currie G; Delbosc, A; Assessing bus rapid transit system performance in Australasia"
Oceania,Australia,Brisbane,South East Busway,19900,2012,"Currie G; Delbosc, A; Assessing bus rapid transit system performance in Australasia"
Oceania,Australia,Brisbane,Northern Busway,12500,2012,"Currie G; Delbosc, A; Assessing bus rapid transit system performance in Australasia"
Oceania,Australia,Brisbane,Eastern Busway,9400,2012,"Currie G; Delbosc, A; Assessing bus rapid transit system performance in Australasia"
Oceania,Australia,Sydney - Blacktown - Rouse Hill,Blacktown to Rouse Hill (North-West T-way),,,
Oceania,Australia,Sydney - Liverpool - Parramatta,Liverpool-Parramatta T-Way,3069,2011,STA - Business Information System Report. Average daily figures.
Oceania,Australia,Sydney - Parramatta - Rouse Hill,Parramatta to Rouse Hill (North-West T-way),,,
Oceania,New Zealand,Auckland,Northern Busway,2200,2012,"Currie G; Delbosc, A; Assessing bus rapid transit system performance in Australasia"