City,Country,Year,System,Corridor,Data reliability from BRTdata,Population,"Population, metro area","Population density, metropolitan area",Year population,"Peak load, corridor (passengers per hour per direction)","Daily demand corridor(ppd)",Speed (kph) BRTdata,Speed (kph) ITDP,Year Speed (kph) BRTdata,Validation,Corridor length (km) BRTdata,Corridor Length (km) ITDP,Year Corridor length (km) BRTdata,Validation,Busway alignment,Dedicated right-of-way,Off-board fare collection,Intersection treatments,Platform-level boarding,BRT BASICS,Multiple routes,Peak frequency 2013,Off-peak frequency 2013,"Express, limited, and local services",Control center,Located In top ten corridors,Hours of operations,Demand Profile,Multi-corridor network,SERVICE PLANNING,Passing lanes at stations,Minimizing bus emissions,Stations set back from intersections,Center stations,Pavement quality,INFRASTRUCTURE,Distances between stations,Safe and comfortable stations,Number of doors on bus,Docking bays and sub-stops,Sliding doors in BRT stations,STATIONS,Branding,Passenger information,COMMUNICATIONS,Universal access,Integration with other public transport,Pedestrian access,Secure bicycle parking,Bicycle lanes,Bicycle-sharing integration,ACCESS AND INTEGRATION,TOTAL 100,MINIMUM BRT BASICS REQUIRED,Commercial Speeds,"Peak passengers per hour per direction (pphpd) below 1,000",Lack of enforcement of right-of-way,Significant gap between bus floor and station platform,Overcrowding,"Poorly-maintained Busway, Buses, Stations and Technology Systems",Peak frequency 2014,Off-peak frequency 2014,POINT DEDUCTIONS,TOTAL SCORE,CLASSIFICATION
Cali,Colombia,2013,MIO,1st phase (all corridors),,,,,,,,,>20,,,,39,,0,7,7,7,6,6,33,4,3,2,3,3,2,2,3,2,24,3,0,3,2,2,10,2,3,3,1,1,10,3,1,4,3,0,2,0,0,0,5,86,YES,0,0,-1,0,-3,0,,,-4,82,SILVER
Medellin,Colombia,2013,MetroplÏs,(no corridor name),,,,,,,,,>20,,,,12.5,,0,7,7,7,5,6,32,0,3,2,0,3,2,2,3,2,17,3,3,3,2,2,13,2,3,3,1,1,10,3,2,5,3,3,2,0,0,0,8,85,YES,0,0,0,0,0,0,,,0,85,GOLD
Perira,Colombia,2013,MegabÏs,(no corridor name),,,,,,,,,>20,,,,19.15,,0,7,7,7,6,6,33,4,3,2,0,2,2,2,3,1,19,0,0,3,2,2,7,2,3,3,0,1,9,3,1,4,3,0,2,0,0,0,5,77,YES,0,0,0,0,0,0,,,0,77,SILVER
Guayaquil,Ecuador,2013,Metrovia,Troncal 3: Bastion-Centro,,,,,,,,,>20,,,,16.5,,0,7,6,7,6,6,32,4,3,2,0,2,2,2,3,1,19,0,0,3,0,2,5,2,3,3,0,1,9,3,1,4,3,0,2,0,0,0,5,74,YES,0,0,-3,0,-3,-1,,,-7,67,BRONZE
Guayaquil,Ecuador,2013,Metrovia,Troncal 1: Guasmo-RÕo Daule,,,,,,,,,>20,,,,13.9,,0,7,6,7,6,6,32,4,3,2,0,2,2,2,3,2,20,0,0,3,0,2,5,2,3,3,0,1,9,3,1,4,3,0,2,0,0,0,5,75,YES,0,0,-3,0,-3,-1,,,-7,68,BRONZE
Quito,Ecuador,2013,Metrobus-Q,"Trolebus, Central-Norte and Ecovia",,,,,,,,,>20,,,,40.9,,0,4,7,7,5,6,29,4,3,2,3,3,2,2,3,2,24,0,3,3,1,0,7,2,3,3,0,1,9,2,1,3,3,1,2,0,0,0,6,78,YES,0,0,-1,0,-3,0,,,-4,74,SILVER
Quito,Ecuador,2014,Metrobus,Corredor sur occidental,,"1,619,791","2,151,994",439.8,2010-2010-2001,"9,300","220,000",18,>20,2012,0,14,13.4,NI,0,7,5,7,6,7,32,4,,,0,1,2,2,3,2,14,1,0,2,2,2,7,2,2,0,1,0,5,0,1,1,3,3,2,0,0,0,8,67,YES,-1,0,0,0,0,-4,0,0,-5,62,BRONZE
Quito,Ecuador,2014,Metrobus,Corredor sur oriental,,"1,619,791","2,151,994",439.8,2010-2010-2001,"3,050","79,940",18,>20,NI,0,12.1,11.1,NI,0,5,6,7,6,7,31,1,,,1,1,2,2,3,2,12,1,2,3,2,2,10,2,2,3,1,0,8,3,1,4,3,3,2,0,0,0,8,73,YES,-1,0,0,0,-3,-3,0,0,-7,66,BRONZE
‘le-de-France (Greater Paris),France,2014,Trans-Val-de-Marne (TVM),TVM (Antony-La Croix de Berny - Saint-Maur-Cr_teil,,"2,243,833","12,223,100",711.7,"2,010","3,000","66,000",23,>20,2011,1,20,16.2,2011,0,8,8,7,5,0,28,4,,,0,3,0,2,3,2,14,0,3,3,0,2,8,2,2,3,1,0,8,2,2,4,2,3,3,0,1,0,9,71,YES,0,0,0,0,0,0,0,0,0,71,SILVER
Nantes,France,2013,Nantes Busway,Line 4,,,,,,,,,>20,,,,7,,0,7,7,6,4,4,28,0,3,2,0,3,2,2,3,0,15,0,2,1,0,0,3,2,2,3,0,0,7,3,2,5,3,3,3,1,0,1,11,69,YES,0,0,0,0,0,0,,,0,69,BRONZE
Rouen,France,2013,TEOR (Transport Est-Ouest Rouennais),(All Corridors),,,,,,,,,>20,,,,13,,0,7,7,6,6,6,32,4,3,2,0,3,2,?,3,0,17,0,0,2,0,0,2,2,2,3,1,0,8,2,2,4,3,3,3,1,1,0,11,74,YES,0,0,-1,0,0,0,,,-1,73,SILVER
Guatemala City,Guatemala,2014,Transmetro,Eje Sur,,"1,533,461","3,134,276","1,420.00",2013-2011-2011,"12,500","180,000",23,>20,NI,1,13,13,NI,1,8,8,8,6,7,37,4,,,3,3,2,1,3,2,18,2,3,3,0,2,10,0,3,3,1,0,7,3,1,4,2,3,3,0,1,0,9,85,YES,0,0,0,0,0,0,0,0,0,85,GOLD
Guatemala City,Guatemala,2014,Transmetro,Eje Central,,"1,533,461","3,134,276","1,420.00",2013-2011-2011,NI,"30,000",30,>20,NI,1,11,11.7,NI,0,5,8,8,6,7,34,0,,,0,3,2,1,2,2,10,0,3,3,0,2,8,2,3,3,0,0,8,3,1,4,3,3,3,0,0,0,9,73,YES,0,0,0,0,0,0,0,0,0,73,SILVER
Ahmedabad,India,2013,Janmarg,RTO-Maninagar,,,,,,,,,>20,,,,21.5,,0,7,7,7,4,6,31,4,3,2,0,2,2,1,3,2,19,0,1,3,2,0,6,2,3,2,1,1,9,3,2,5,2,1,1,0,0,0,4,74,YES,0,0,0,-1,-3,-2,,,-6,68,BRONZE
Ahmedabad,India,2013,Janmarg,Narol-Naroda,,,,,,,,,>20,,,,13.2,,0,7,7,7,4,6,31,4,3,2,0,2,2,1,3,2,19,4,1,3,2,0,10,2,3,2,1,1,9,3,2,5,2,1,1,0,0,0,4,78,YES,0,0,0,-1,-3,-2,,,-6,72,SILVER
Ahmedabad,India,2014,Janmarg,Sola-AEC,,"5,726,000","6,240,201","4,060.00",2010-2011,,,,>20,,,82,3.1,,0,8,8,8,4,7,35,4,,,0,2,2,2,0,2,12,0,1,3,2,1,7,2,3,2,1,1,9,3,2,5,2,3,1,0,0,0,6,74,YES,0,-5,0,-1,0,0,-3,0,-9,65,BRONZE
Delhi,India,2013,Delhi BRTS,Moolchand-Ambedkar Nagar,,,,,,,,,>20,,,,5.8,,0,7,7,0,0,4,18,4,1,0,0,1,2,1,3,2,14,0,0,0,0,0,0,2,0,2,1,0,5,0,1,1,1,0,2,0,1,0,4,42,YES,0,0,-3,-5,-3,-1,,,-12,30,BASIC BRT
Surat,India,2014,Sitilink,Udhna - Sachin GIDC,,"4,462,002","4,585,367","1,089.90",2011,NI,"13,500",NI,>20,NI,0,10,10,2014,1,8,7,8,5,7,35,0,,,0,1,2,1,0,1,5,4,0,2,2,2,10,2,3,0,1,1,7,3,2,5,2,0,1,0,1,0,4,66,YES,0,-5,-1,0,0,0,-2,0,-8,58,BRONZE
Jakarta,Indonesia,2013,TransJakarta,Corridor 1,,,,,,,,,>20,,,,12.9,,0,7,7,7,3,6,30,4,3,2,0,1,2,2,3,2,19,0,0,3,2,0,5,2,2,3,0,1,8,3,1,4,2,1,2,0,0,0,5,71,YES,0,0,-3,-3,-3,-1,,,-10,61,BRONZE
Jakarta,Indonesia,2014,TransJakarta,Corridor 1,,"9,607,787","28,019,545","3,830.40",2011,NI,NI,19,>20,2013,0,12.9,12.9,2013,1,8,8,8,6,7,37,4,,,0,2,2,2,3,2,15,0,0,3,2,0,5,2,2,2,1,0,7,2,2,4,2,2,2,0,0,0,6,74,YES,0,0,0,-1,-2,0,0,0,-3,71,SILVER
Guadalajara,Mexico,2013,Macrobus,(only 1 line),,,,,,,,,>20,,,,16,,0,7,7,7,6,6,33,4,3,2,3,3,2,2,3,2,24,4,3,3,2,2,14,2,3,3,2,1,11,3,1,4,2,2,3,0,0,0,7,93,YES,0,0,0,0,0,0,,,0,93,GOLD
Mexico City,Mexico,2013,Metrobus,Line 1,,,,,,,,,>20,,,,28.1,,0,7,7,7,5,6,32,4,3,2,0,2,2,2,3,2,20,0,0,3,2,2,7,2,3,3,0,0,8,3,1,4,2,1,2,0,0,0,5,76,YES,0,0,0,0,-3,0,,,-3,73,SILVER
Mexico City,Mexico,2013,Metrobus,Line 2,,,,,,,,,>20,,,,20,,0,5,7,7,4,6,29,4,3,2,0,2,2,2,3,2,20,0,1,3,2,2,8,2,3,3,0,0,8,3,1,4,2,2,2,0,0,0,6,75,YES,0,0,0,0,0,0,,,0,75,SILVER
Mexico City,Mexico,2013,Metrobus,Line 3,,,,,,,,,>20,,,,17,,0,7,7,7,4,6,31,4,3,2,0,2,2,2,3,2,20,0,2,3,2,2,9,2,3,3,0,0,8,3,1,4,2,2,2,0,0,0,6,78,YES,0,0,0,0,0,0,,,0,78,SILVER
Mexico City,Mexico,2013,Metrobus,Line 4,,,,,,,,,13-16,,,,28,,0,5,6,0,3,6,20,4,3,2,0,2,0,2,0,2,15,0,3,2,0,2,7,2,1,3,0,0,6,3,1,4,3,1,3,1,0,1,9,61,YES,-6,0,0,0,0,0,,,-6,55,BRONZE
Mexico City,Mexico,2014,Metrobus,L5 RÕo de los Remedios - San Lazaro,,"8,851,080","8,851,080","5,871.00",2010-2005-2005,"5,400","70,000",18,>20,2014,0,10,10,2016,1,8,8,8,7,7,38,0,,,0,3,2,2,3,2,12,0,2,3,1,2,8,2,3,3,0,0,8,3,2,5,3,2,3,1,2,0,11,82,YES,0,0,0,0,0,0,0,0,0,82,SILVER
Mexico City,Mexico,2013,Mexibus,Line 1,,,,,,,,,>20,,,,16,,0,7,7,7,6,6,33,4,3,2,3,1,2,2,3,1,21,4,2,3,2,1,12,2,3,3,2,0,10,3,1,4,1,1,1,0,0,0,3,83,YES,0,0,0,0,0,0,,,0,83,SILVER
Mexico City,Mexico,2014,Mexibus,L3 Pantitlàn-Chimalhuacan,,"8,851,080","8,851,080","5,871.00",2010-2005-2005,"5,000","155,000",18.55,>20,2014,0,17,14.5,2016,0,8,8,8,6,7,37,0,,,3,1,2,2,3,0,11,4,2,3,1,2,12,2,3,3,1,0,9,3,1,4,2,0,2,0,1,0,5,78,YES,0,0,-1,0,-5,0,0,0,-6,72,SILVER
Monterrey,Mexico,2014,Ecovia,Lincoln-Ruiz Cortines,,"1,135,550","3,700,000",553.1,2010,NI,NI,NI,>20,NI,,30.1,30,2014,1,8,8,8,6,7,37,0,,,0,2,2,2,3,2,11,0,1,3,2,2,8,2,3,3,0,1,9,3,1,4,2,2,1,1,0,0,6,75,YES,0,0,0,0,0,0,0,0,0,75,SILVER
Puebla,Mexico,2014,RUTA,Chachapa -Tlaxcalancingo (Linea 1),,"1,539,819","2,728,790",76.6,2010,NI,"71,704",25,>20,2013,1,18.5,18.5,2013,1,8,8,8,6,7,37,0,,,0,1,2,1,3,2,9,0,2,3,2,2,9,2,3,3,0,0,8,3,1,4,2,3,1,0,0,0,6,73,YES,0,0,0,0,0,-4,0,0,-4,69,BRONZE
Lima,Peru,2013,El Metropolitano,(only 1 line),,,,,,,,,>20,,,,16.8,,0,7,7,7,5,6,32,4,3,2,3,3,2,2,3,1,23,4,3,3,2,2,14,2,3,3,1,1,10,3,1,4,3,0,2,1,0,0,6,89,YES,0,0,-1,0,0,0,,,-1,88,GOLD
Cape Town,South Africa,2013,MyCiTi,Phase 1A,,,,,,,,,>20,,,,17,,0,6.5,7,7,0,6,26.5,0,0,0,0,3,2,1,0,1,7,4,1,0,2,1,8,0,3,3,1,1,8,3,1,4,3,0,3,1,2,0,9,62.5,YES,0,0,0,0,0,0,,,0,62.5,BRONZE
Johannesburg,South Africa,2013,Rea Vaya,Phase IA,,,,,,,,,>20,,,,25.5,,0,6.5,7,7,5,6,31.5,4,2,2,2,3,2,1,3,2,21,4,1,3,2,0,10,2,3,3,1,1,10,3,2,5,2,0,2,0,0,0,4,81.5,YES,0,0,-3,-3,0,0,,,-6,75.5,SILVER
Johannesburg,South Africa,2014,Rea Vaya,Phase IB,,"957,441","4,434,827","2,696.00",2011,NI,NI,NI,>20,NI,0,18,16.7,2013,0,7.5,8,8,2,7,32.5,4,,,0,2,2,1,3,2,14,4,2,2,2,0,10,0,3,3,1,1,8,3,0.5,3.5,2,1,3,0,0,0,6,74,YES,0,0,-4,-2,0,-4,-2,-1,-13,61,BRONZE
Seoul,South Korea,2014,(no BRT system name),Yeouidaebang-ro/Siheung-daero,,"10,442,426","25,620,000","2,176.00",2012,,,,13-16,,,,9.5,,0,8,8,0,6,0,22,4,,,0,2,2,2,3,2,15,0,3,3,0,2,8,2,1,0,1,0,4,0,2,2,0,3,3,0,0,0,6,57,YES,-6,0,0,0,0,0,0,0,-6,51,BASIC BRT
Seoul,South Korea,2014,(no BRT system name),Gyeongin-ro,,,,,,,,,13-16,,,,5.6,,0,7,7,0,6,0,20,4,,,0,2,2,2,3,2,15,0,3,3,0,2,8,2,1,0,1,0,4,0,2,2,0,3,3,0,0,0,6,55,YES,-6,0,0,0,0,0,0,0,-6,49,BASIC BRT
Seoul,South Korea,2014,(no BRT system name),Gangnam-Daero,,,,,,,,,13-16,,,,4.7,,0,8,8,0,6,0,22,4,,,0,2,2,2,3,2,15,0,3,3,0,2,8,2,1,0,1,0,4,0,2,2,0,3,3,0,0,0,6,57,YES,-6,0,0,0,0,0,0,0,-6,51,BASIC BRT
Seoul,South Korea,2014,(no BRT system name),Dongsomun-ro/Dobong-ro,,,,,,,,,13-16,,,,14.3,,0,8,8,0,6,0,22,4,,,0,2,2,2,3,2,15,0,3,3,0,2,8,2,1,0,1,0,4,0,2,2,0,3,3,0,0,0,6,57,YES,-6,0,0,0,0,0,0,0,-6,51,BASIC BRT
Seoul,South Korea,2014,(no BRT system name),Susack BRT,,,,,,,,,13-16,,,,20,,0,8,8,0,6,0,22,4,,,0,2,2,2,3,2,15,0,3,3,0,2,8,2,1,0,1,0,4,0,2,2,2,3,3,0,0,0,8,59,YES,-6,0,0,0,0,0,0,0,-6,53,BASIC BRT
Seoul,South Korea,2014,(no BRT system name),Cheonho-Daero - West,,,,,,,,,13-16,,,,5.4,,0,8,8,0,6,0,22,4,,,0,2,2,2,3,2,15,0,3,3,0,2,8,2,1,0,1,0,4,0,2,2,0,3,3,0,0,0,6,57,YES,-6,0,0,0,0,0,0,0,-6,51,BASIC BRT
Seoul,South Korea,2014,(no BRT system name),Cheonho-Daero - East,,,,,,,,,13-16,,,,9.2,,0,8,5,0,7,0,20,4,,,2,2,2,2,3,2,17,0,3,3,0,2,8,2,1,0,1,0,4,0,2,2,2,3,3,0,0,0,8,59,YES,-6,0,0,0,0,0,0,0,-6,53,BASIC BRT
Bangkok,Thailand,2014,Bangkok BRT,Sathorn Station to Rama III Station,,,,,,,,,>20,,,,11.5,,0,8,4,7,6,7,32,0,,,0,3,2,2,0,0,7,0,0,3,0,2,5,0,3,0,0,0,3,3,2,5,1,3,3,0,0,0,7,59,YES,0,0,0,0,0,0,0,0,0,59,BRONZE
Istanbul,Turkey,2014,MetrobÙs,Avc_lar - S__ÙtlÙe_me,,"14,160,467","14,160,467","2,523.00",2014,"30,000","750,000",35,>20,2013,1,52,52,2012,1,8,8,7,7,7,37,4,,,3,2,2,2,3,1,17,0,3,3,2,2,10,0,1,3,1,0,5,2.5,2,4.5,1,2.5,1,0,0,0,4.5,78,YES,0,0,0,-3,-5,0,0,0,-8,70,SILVER
Cambridge,UK,2013,Cambridgeshire Busway,Route A,,,,,,,,,>20,,,,26,,0,5,5,0,6,6,22,4,3,2,0,3,2,2,3,0,19,0,0,3,0,2,5,0,3,0,0,0,3,3,2,5,3,2,3,2,2,0,12,66,YES,0,0,0,0,0,0,,,0,66,BRONZE
"Cleveland, OH",USA,2013,(no BRT system name),Healthline,,,,,,,,,>20,,,,15,,0,7,7,6,3,6,29,4,1,0,0,3,2,2,3,1,16,2,2,1,1,2,8,2,3,3,1,0,9,3,2,5,3,1,3,1,1,0,9,76,YES,0,0,0,0,0,0,,,0,76,SILVER
"Eugene, OR",USA,2013,Emerald Express (EmX),Green Line,,,,,,,,,16-19,,,,12.5,,0,4,4,6,0,6,20,0,0,2,0,3,2,1,3,0,11,0,2,1,0,2,5,2,2,3,0,0,7,3,2,5,3,3,2,1,1,0,10,58,YES,-3,0,0,0,0,0,,,-3,55,BRONZE
"Pittsburgh, PA",USA,2013,(no BRT system name),Martin Luther King Jr. East Busway,,,,,,,,,>20,,,,14.6,,0,7,7,0,6,0,20,4,2,0,2,0,2,2,0,1,13,4,2,3,0,2,11,0,1,3,1,0,5,0,0,0,2,2,2,1,0,0,7,56,YES,0,0,0,0,0,0,,,0,56,BRONZE
"Pittsburgh, PA",USA,2013,(no BRT system name),West Busway,,,,,,,,,>20,,,,8.2,,0,7,7,0,6,0,20,4,1,0,2,0,2,2,0,1,12,4,1,3,0,2,10,2,1,3,1,0,7,0,0,0,1,0,1,0,0,0,2,51,YES,0,0,0,0,0,0,,,0,51,BASIC BRT
"Pittsburgh, PA",USA,2013,(no BRT system name),South Busway,,,,,,,,,>20,,,,6.9,,0,7,7,0,6,0,20,4,0,0,2,0,2,2,0,1,11,4,1,3,0,2,10,2,1,3,1,0,7,0,0,0,1,0,1,0,0,0,2,50,YES,0,0,0,0,0,0,,,0,50,BASIC BRT
"Las Vegas, NV",USA,2013,(no BRT system name),Strip & Downtown Express (SDX),,,,,,,,,>20,,,,2,,0,6,6,3,3,5,23,4,0,0,0,2,2,2,0,2,12,0,3,1,0,1,5,2,1,3,0,0,6,3,1,4,3,1,2,0,1,0,7,57,YES,0,0,0,-3,0,0,,,-3,54,BASIC BRT
"Los Angeles, CA",USA,2013,(no BRT system name),Orange line,,,,,,,,,>20,,,,23,,0,7,7,6,5,0,25,0,3,2,0,3,0,2,3,0,13,4,3,0,0,2,9,0,1,3,1,0,5,3,2,5,3,0,1,2,2,0,8,65,YES,0,0,0,0,0,0,,,0,65,BRONZE
"San Bernardino, CA",USA,2014,sbX,E Street,,"2,101,053","4,304,997",59.5,2012-2011-2010,,,,>20,,,,8.3,,0,8,8,7,2,7,32,0,,,0,3,2,0,3,0,8,0,3,3,2,1,9,0,2,3,0,0,5,3,2,5,3,0,3,1,0,0,7,66,YES,0,0,0,0,0,0,-3,0,-3,63,BRONZE
Seattle,USA,2014,Metro,Downtown Seattle Transit Tunnel/SODO Busway,,,,,,,,,>20,,,,5.3,,0,8,8,0,7,0,23,4,,,3,3,2,2,3,0,17,0,3,3,0,2,8,2,1.5,0,1,0,4.5,0,1,1,1.5,3,1.5,0,1,0,7,60.5,YES,0,0,0,0,0,0,-3,-2,-5,55.5,BRONZE
Caracas,Venezuela,2014,BusCaracas,LÕnea 7,,"1,943,901","3,247,971","4,009.00",2011,NI,"30,000",NI,>20,NI,0,5.2,5.2,2013,1,8,7,8,7,7,37,0,,,0,2,2,1,3,1,9,0,2,3,2,2,9,2,3,3,0,1,9,3,1,4,3,2,2,0,0,0,7,75,YES,0,0,-3,0,0,0,0,0,-3,72,SILVER