"REGION","COUNTRY","CITY","CORRIDOR","CORRIDOR_LENGTH_KM","DAILY_DEMAND_CORRIDOR_PASSENGERS_PER_DAY","GRADE_SEPARATED_INTERSECTIONS_CORRIDOR","LENGTH_OF_EXCLUSIVE_LANES_CORRIDOR_KM","LENGTH_OF_SEGREGATED_COUNTERFLOW_LANES_CORRIDOR_KM","LENGTH_OF_SEGREGATED_LANES_CORRIDOR_KM","OPERATING_SPEED_CORRIDOR","PEAK_FREQUENCY_CORRIDOR_BUSES_PER_HOUR_PER_DIRECTION","PEAK_LOAD_CORRIDOR_PASSENGERS_PER_HOUR_PER_DIRECTION","PHYSICALLY_INTEGRATED_FEEDERS","PRE_BOARD_FARE_COLLECTION_CORRIDOR","STATION_SPACING_CORRIDOR_M","TOTAL_COST_PER_KILOMETER_CORRIDOR_US_MILLION_PER_KM","YEAR_CORRIDOR_COMMENCED"
"Africa","Nigeria","Lagos","Lagos BRT",22,200000,"",NA,NA,14.3,"30",NA,NA,"","","800",1.7,2008
"Africa","South Africa","Cape Town","1A",17,20000,"",NA,NA,NA,"",6,NA,"","All","485.7",NA,2011
"Africa","South Africa","Johannesburg","1A",25.5,42000,"None",0,0,25.5,"30",64,5760,"Yes","All","772",NA,2009
"Africa","South Africa","Johannesburg","1B",18,NA,"None",0,0,18,"",20,NA,"Yes","All","1384",NA,2013
"Asia","China","Beijing","BRT 1",11.5,150000,"None",0,0,14,"26",60,8000,"No","All","950",6.84,2004
"Asia","China","Beijing","BRT 2",15,NA,"None",0,0,9.5,"",NA,NA,"No","All","750",NA,2008
"Asia","China","Beijing","BRT 3",23,NA,"None",0,0,11,"",NA,NA,"No","All","1000",NA,2008
"Asia","China","Beijing","BRT 4",25,NA,"None",0,0,24.5,"",NA,NA,"No","All","1300",NA,2012
"Asia","China","Changde","Line 1",18.9,NA,"",0,0,18.9,"31",27,800,"","Partial","780",NA,2012
"Asia","China","Changzhou","Line 1",29.6,NA,"",0,0,26.7,"",NA,NA,"","All","925",NA,2008
"Asia","China","Changzhou","Line 2",20.3,NA,"",0,0,19.3,"",NA,NA,"","All","810",NA,2009
"Asia","China","Chengdu","2nd Ring Elevated Road",28.8,NA,"None",28.8,0,0,"26",40,6650,"","All","1028.6",18.97,2013
"Asia","China","Chongqing","Chongqing BRT",11.5,12000,"",NA,NA,NA,"31",6,NA,"","","",NA,2008
"Asia","China","Dalian","Dalian BRT",13.7,87000,"",0,0,9,"24",75,6430,"","All","1250",2.6,2008
"Asia","China","Guangzhou","Zhongshan Avenue",22.5,850000,"None",0,0,22.5,"23",350,29000,"No","All","860",NA,2010
"Asia","China","Hangzhou","Line 1",27.1,NA,"",0,0,7,"",NA,NA,"","","1500",NA,2006
"Asia","China","Hangzhou","Line 2",19,NA,"",0,0,11.8,"",NA,NA,"","","780",NA,2008
"Asia","China","Hangzhou","Line 3",9.3,NA,"",NA,NA,NA,"",NA,NA,"","","1030",NA,2010
"Asia","China","Hefei","Changjiang Lu",7.2,65250,"",NA,NA,NA,"16",55,3600,"","All","800",NA,2010
"Asia","China","Jinan","BRT-1",11.5,NA,"",NA,NA,NA,"",NA,NA,"","All","",NA,2008
"Asia","China","Jinan","BRT-2",11,NA,"",NA,NA,NA,"",NA,NA,"","All","",NA,2008
"Asia","China","Jinan","BRT-3",11.2,NA,"",NA,NA,NA,"",NA,NA,"","All","",NA,2009
"Asia","China","Jinan","BRT-4",9.5,NA,"",NA,NA,NA,"",NA,NA,"","All","",NA,2009
"Asia","China","Jinan","BRT-5",19,NA,"",NA,NA,NA,"",NA,NA,"","All","",NA,2009
"Asia","China","Jinan","BRT-6",13.8,NA,"",NA,NA,NA,"",NA,NA,"","All","",NA,2009
"Asia","China","Jinan","BRT-7",7.8,NA,"",NA,NA,NA,"",NA,NA,"","All","",NA,2014
"Asia","China","Kunming","",46.7,156000,"",NA,NA,NA,"",NA,6300,"","","",NA,1999
"Asia","China","Lanzhou","Line 1",9.1,290000,"",0,0,8.6,"22",87,6550,"","All","650",NA,2013
"Asia","China","Lianyungang","Line 1",34,20000,"",0,0,34,"18",25,1650,"","All","1170",NA,2012
"Asia","China","Urumqi","Line 1",NA,NA,"",NA,NA,NA,"",NA,NA,"","All","",NA,2011
"Asia","China","Urumqi","Line 2",NA,NA,"",NA,NA,NA,"",NA,NA,"","All","",NA,2012
"Asia","China","Urumqi","Line 3",NA,NA,"",NA,NA,NA,"",NA,NA,"","All","",NA,2013
"Asia","China","Urumqi","Line 4",NA,NA,"",NA,NA,NA,"",NA,NA,"","All","",NA,2014
"Asia","China","Xiamen","Line 1",28.2,NA,"",NA,NA,NA,"",NA,NA,"","All","1340",NA,2008
"Asia","China","Xiamen","Line 2",10,NA,"",NA,NA,NA,"",NA,NA,"","All","2500",NA,2010
"Asia","China","Xiamen","Line 3",10.7,NA,"",NA,NA,NA,"",NA,NA,"","All","710",NA,NA
"Asia","China","Yancheng","Line 1",16,33000,"None",0,0,16,"18",30,1300,"","All","650",NA,2010
"Asia","China","Yichang","Phase 1",13,240000,"All",0,0,13,"20",94,5400,"","All","590.9",NA,2015
"Asia","China","Yinchuan","Line 1",17,87000,"",0,0,17,"15",63,3600,"","All","770",NA,2012
"Asia","China","Zaozhuang","Line 1",33,30000,"",0,0,33,"30",27,700,"","Partial","1375",NA,2010
"Asia","China","Zhengzhou","Line 1",30.5,650000,"",0,0,26.6,"15",52,5600,"","All","800",NA,2009
"Asia","India","Ahmedabad","",82,130000,"",NA,NA,NA,"24",20,1780,"","All","",4.8,2009
"Asia","India","Bhopal","",24,70000,"",0,0,24,"",6,NA,"","","585.4",NA,2013
"Asia","India","Indore","",11.45,45500,"",0,0,11.45,"",NA,NA,"","All","550",NA,2013
"Asia","India","Jaipur","",7.1,6622,"None",0,0,7.1,"18",23,1046,"No","None","710",NA,2010
"Asia","India","Pune","",17,96750,"None",0,0,17,"23",120,5720,"No","None","586",NA,2006
"Asia","India","Rajkot","",10.7,7500,"",0,0,10.7,"",NA,NA,"","","600",NA,2012
"Asia","India","Surat","Udhna Darwaza to Sachin GIDC",10,13500,"None",0,0,10,"",6,NA,"","All","526.3",NA,2014
"Asia","Indonesia","Jakarta","Koridor 1",12.9,NA,"None",NA,NA,NA,"19",40,NA,"","All","645",1,2004
"Asia","Indonesia","Jakarta","Koridor 10",19.4,NA,"None",NA,NA,NA,"19",40,NA,"","All","881",NA,2011
"Asia","Indonesia","Jakarta","Koridor 11",11.4,NA,"None",NA,NA,NA,"19",40,NA,"","All","712",NA,2012
"Asia","Indonesia","Jakarta","Koridor 12",23.8,NA,"None",NA,NA,NA,"19",40,NA,"","All","991",NA,2013
"Asia","Indonesia","Jakarta","Koridor 2",14,NA,"None",NA,NA,NA,"19",40,NA,"","All","583",NA,2006
"Asia","Indonesia","Jakarta","Koridor 3",19,NA,"None",NA,NA,NA,"19",40,NA,"","All","1187",NA,2006
"Asia","Indonesia","Jakarta","Koridor 4",11.85,NA,"None",NA,NA,NA,"19",40,NA,"","All","697",NA,2007
"Asia","Indonesia","Jakarta","Koridor 5",13.5,NA,"None",NA,NA,NA,"19",40,NA,"","All","750",NA,2007
"Asia","Indonesia","Jakarta","Koridor 6",13.3,NA,"None",NA,NA,NA,"19",40,NA,"","All","665",NA,2007
"Asia","Indonesia","Jakarta","Koridor 7",12.8,NA,"None",NA,NA,NA,"19",40,NA,"","All","914",NA,2007
"Asia","Indonesia","Jakarta","Koridor 8",26,NA,"None",NA,NA,NA,"19",40,NA,"","All","1181",NA,2009
"Asia","Indonesia","Jakarta","Koridor 9",28.8,NA,"None",NA,NA,NA,"19",40,NA,"","All","1066",NA,2011
"Asia","Iran","Tabriz","",18,NA,"",NA,NA,NA,"",NA,NA,"","","",NA,2009
"Asia","Iran","Tehran","Line 1",8.4,NA,"",0,0,18.7,"",90,NA,"N/A","All","779",NA,2008
"Asia","Iran","Tehran","Line 10",10,NA,"",0,0,10,"",NA,NA,"N/A","All","588",NA,2011
"Asia","Iran","Tehran","Line 2",18.7,NA,"",0,0,18.7,"",NA,NA,"N/A","All","693",NA,2009
"Asia","Iran","Tehran","Line 3",14.3,NA,"",0,0,14.3,"",NA,NA,"N/A","All","841",NA,2009
"Asia","Iran","Tehran","Line 4",21.5,NA,"",0,0,21.5,"",NA,NA,"N/A","All","1075",NA,2011
"Asia","Iran","Tehran","Line 5",22,NA,"",0,0,22,"",NA,NA,"N/A","All","1375",NA,2013
"Asia","Iran","Tehran","Line 7",18.5,NA,"",0,0,18.5,"",NA,NA,"N/A","All","686",NA,2011
"Asia","Iran","Tehran","Line 8",6.2,40000,"",0,0,6.2,"",NA,NA,"N/A","All","885",NA,2013
"Asia","Israel","Haifa","The Blue Line",18,NA,"",0,0,18,"24",10,NA,"","All","666.7",NA,2013
"Asia","Israel","Haifa","The Green Line",16,NA,"",0,0,16,"21.3",10,NA,"","All","571.4",NA,2013
"Asia","Israel","Haifa","The Red Line",25,NA,"",0,0,25,"27.3",15,NA,"","All","595.2",NA,2013
"Asia","Japan","Kesennuma - Tome","Kesennuma Line",21.7,NA,"",21.7,0,0,"",5,NA,"","","1276",NA,2012
"Asia","Japan","Nagoya","Yutorito Line",6.8,9000,"All",NA,NA,NA,"30",17,750,"","","",46.5,2001
"Asia","Malaysia","Subang Jaya","BRT Sunway Line",5.4,NA,"All",5.4,0,0,"",15,NA,"Yes","All","771",31.35,2015
"Asia","Pakistan","Islamabad - Rawalpindi","Rawalpindi - Islmabad",22.5,125000,"All",22.5,0,0,"",21,2100,"No","All","937.5",NA,2015
"Asia","Pakistan","Lahore","",27,180000,"Partial",8.3,0,18.7,"26",30,10000,"","All","1000",11,2013
"Asia","Republic of Korea","Seoul","",43,400000,"",NA,NA,NA,"17",NA,8400,"","None","",NA,2004
"Asia","Taiwan","Chiayi","Chiayi BRT",29.65,2000,"None",0,0,NA,"",NA,NA,"","None","1647",NA,2008
"Asia","Taiwan","Taichung","Blue Line",17.2,50000,"None",NA,NA,NA,"",NA,NA,"","All","820",NA,2014
"Asia","Taiwan","Taipei","",60,1200000,"",NA,NA,NA,"19.5",NA,9500,"","","380",0.35,1998
"Asia","Thailand","Bangkok","Bangkok BRT",15.3,15000,"",NA,NA,NA,"26",14,1200,"","","",NA,2010
"Europe","Belgium","Liège","Cadran - Fontainebleau",1.2,NA,"Partial",0,0,1.2,"",NA,NA,"","None","600",NA,NA
"Europe","Belgium","Liège","d’Avroy - Sauvenière",2.2,NA,"None",0,0,2.2,"",NA,NA,"","None","314.3",NA,NA
"Europe","Belgium","Liège","Quai Saint-Léonard",2.6,NA,"None",0,0,2.6,"",NA,NA,"","None","371.4",NA,NA
"Europe","Czech Republic","Prague","Line 213",10.25,18000,"All",NA,NA,NA,"21.8",10,NA,"N/A","","600",NA,1994
"Europe","Finland","Helsinki","Runkolinja 550",27.5,30000,"",NA,NA,7.5,"26",20,NA,"","None","750",NA,2003
"Europe","France","Belfort","Optymo BHNS",15.7,32000,"None",0,0,4.5,"21",12,NA,"","None","300",NA,2013
"Europe","France","Caen","Twisto TVR",15.7,48000,"",NA,NA,NA,"20",10,NA,"","","",31.72,2002
"Europe","France","Cannes","Ligne 1",34,NA,"None",0,0,NA,"",12,NA,"","None","440",11.78,2013
"Europe","France","Châlon-sur-Saône","Flash",6.4,5300,"None",0,0,4.5,"19",6,NA,"","None","426",2.34,2012
"Europe","France","Douai","",34,1800,"",NA,NA,NA,"24.7",NA,NA,"","","",4.647,2006
"Europe","France","Evry","Tice",18,NA,"None",0,0,18,"21",NA,NA,"","None","580.6",NA,1975
"Europe","France","La Rochelle","",6,5600,"",NA,NA,NA,"",NA,NA,"","","",NA,2009
"Europe","France","Lille","",5.5,NA,"",NA,NA,NA,"",NA,NA,"","","",NA,2008
"Europe","France","Lorient","The Triskell",4.6,45000,"All",NA,NA,NA,"21.5",9,NA,"","","275",NA,2007
"Europe","France","Lyon","C-Lines",4,4700,"",NA,NA,NA,"17",NA,NA,"","","",NA,2006
"Europe","France","Maubeuge","BHLS - Viavil",8.4,5000,"",NA,NA,NA,"",NA,NA,"","","",NA,2008
"Europe","France","Metz","Ligne A",12,NA,"None",0,0,11.25,"20",12,NA,"N/A","All","480",NA,2013
"Europe","France","Metz","Ligne B",11,NA,"None",0,0,9.9,"20",12,NA,"N/A","All","523",NA,2013
"Europe","France","Nancy","TVR (GLT)",12,37000,"",NA,NA,NA,"14.5",13,NA,"","","",16.917,2001
"Europe","France","Nantes","BusWay",6.9,25000,"None",0,0,6,"21",17,2000,"N/A","None","460",19.714,2006
"Europe","France","Nice","",NA,58000,"",NA,NA,NA,"",NA,NA,"","","",NA,2010
"Europe","France","Nîmes","Tango+ T1",4.5,7719,"Partial",0,0,4.5,"22.5",12,NA,"","Partial","460",NA,2012
"Europe","France","Paris","Ligne 393, RATP",6.5,17500,"None",0,0,6.5,"24",12,NA,"N/A","None","650",NA,2011
"Europe","France","Paris","T Zen 1",14.7,6000,"None",0,0,9.6,"",NA,NA,"N/A","None","1000",NA,2011
"Europe","France","Paris","TVM",20,66000,"Partial",0,0,19,"23",17,3000,"N/A","None","625",NA,1993
"Europe","France","Rouen","T1",11.1,NA,"None",NA,NA,NA,"",30,NA,"N/A","None","652.9",NA,2002
"Europe","France","Rouen","T2",14.8,NA,"None",NA,NA,NA,"",30,NA,"N/A","None","493.3",NA,2001
"Europe","France","Rouen","T3",17.7,NA,"None",NA,NA,NA,"",30,NA,"N/A","None","590",NA,2001
"Europe","France","Saint-Nazaire","Hélyce",9,10000,"None",NA,NA,6,"18.4",9,NA,"N/A","All","474",8.1,2012
"Europe","France","Strasbourg","Ligne G",5.2,9000,"None",NA,NA,NA,"18",NA,NA,"N/A","All","472",7.61,2013
"Europe","France","Toulouse","",11,13300,"",NA,NA,NA,"25",8,NA,"","","",6.273,2008
"Europe","Germany","Essen","The Spurbus",24.2,17000,"Partial",4,0,0,"16.5",6,NA,"N/A","None","",NA,1980
"Europe","Germany","Hamburg","Line 5",15.1,60000,"None",0,0,4.08,"18.8",12,NA,"N/A","None","503.3",NA,2005
"Europe","Germany","Oberhausen","ÖPNV-Trasse",6.8,25000,"",6.8,0,0,"34",40,NA,"","","1133.3",NA,1996
"Europe","Ireland","Dublin","",8.4,34000,"",NA,NA,NA,"",NA,6400,"","","",NA,1997
"Europe","Italy","Brescia","LAM1",NA,NA,"",NA,NA,2.1,"15",12,NA,"","","270",NA,NA
"Europe","Italy","Brescia","LAM2",NA,12000,"",NA,NA,2.1,"16",9,NA,"","","188",NA,NA
"Europe","Italy","Prato","Arancio",8.97,NA,"None",1.15,1.36,0,"20.7",4,NA,"","None","332.2",NA,2014
"Europe","Italy","Prato","Blu",9.61,NA,"None",0,4.16,0,"18.9",9,NA,"","None","266.9",NA,2003
"Europe","Italy","Prato","Rossa",5.52,NA,"None",0,2.88,0,"18",6,NA,"","None","501.8",NA,2003
"Europe","Netherlands","Almere","Line 1",58,16000,"All",NA,NA,NA,"24.5",9,NA,"Yes","","600",NA,2004
"Europe","Netherlands","Amsterdam","Zuidtangent",56.7,40000,"Partial",0,0,37,"35",10,960,"N/A","None","1718.2",NA,2002
"Europe","Netherlands","Eindhoven","Phileas",15,12000,"",NA,NA,NA,"21",NA,NA,"","","",NA,2003
"Europe","Netherlands","Enschede","Line 2",11,1318,"None",NA,NA,NA,"20.5",NA,NA,"","None","600",NA,2000
"Europe","Netherlands","Enschede","Line3",12,1250,"None",12,NA,NA,"27",NA,NA,"","None","600",NA,2006
"Europe","Netherlands","Utrecht","",8.2,40000,"",NA,NA,NA,"",8,NA,"","","",NA,2001
"Europe","Portugal","Lisbon","24 de Julho Corridor (mixed traffic with 10 tramways)",4.8,27000,"",NA,NA,NA,"16",30,12000,"","","400",NA,1990
"Europe","Spain","Barcelona","Línia 64: Barceloneta - Pedralbes",21.8,15300,"None",0,0,17.44,"10",8,1220,"Yes","None","589",NA,2007
"Europe","Spain","Castellon","Line 1",2,3200,"All",NA,NA,NA,"18",12,NA,"","","509",NA,2009
"Europe","Spain","Granada","LAC",4.2,27667,"None",0,0,4.2,"",3,NA,"Yes","All","381.8",NA,2014
"Europe","Spain","Madrid","Bus VAO",16.1,112000,"Partial",NA,NA,3.9,"28.5",185,7500,"","None","860",NA,1995
"Europe","Sweden","Gothenburg","Stombuss",16.5,25000,"None",0,0,7.5,"21",20,NA,"Yes","None","687",1.67,2003
"Europe","Sweden","Jonkoping","Line1",13.4,NA,"",NA,NA,NA,"21",NA,NA,"","","440",NA,1996
"Europe","Sweden","Jonkoping","Line2",11.5,NA,"",NA,NA,NA,"23",NA,NA,"","","440",NA,1996
"Europe","Sweden","Jonkoping","Line3",14.3,NA,"",NA,NA,NA,"21",NA,NA,"","","440",NA,2001
"Europe","Sweden","Stockholm","",40,57000,"",NA,NA,NA,"16.5",15,NA,"","","",NA,1998
"Europe","Switzerland","Zurich","Line 31",11,14000,"None",0,0,2.8,"19",8,1300,"Yes","None","407",NA,2007
"Europe","Turkey","Istanbul","TUYAP - Sogutlucesme Metrobus Corridor",52,750000,"None",0,50,0,"35",156,30000,"No","All","1181.8",9.084,2007
"Europe","United Kingdom","Bradford","Manchester Road",2.74,5467,"None",2.35,0,0,"",22,NA,"","None","1370",19.3,2002
"Europe","United Kingdom","Cambridge","The Busway",40,12000,"Partial",25,0,0,"60",12,NA,"N/A","None","3125",NA,2011
"Europe","United Kingdom","Crawley","",24,6000,"",NA,NA,NA,"20",6,NA,"","","",2,2003
"Europe","United Kingdom","Edinburgh","",5,44000,"",NA,NA,NA,"",15,NA,"","","",16.1,2004
"Europe","United Kingdom","Fareham - Gosport","Eclipse",3.4,NA,"Partial",0,0,3.4,"",12,NA,"N/A","None","486",NA,2012
"Europe","United Kingdom","Kent","Fastrack",15,5726,"",NA,NA,NA,"",NA,NA,"","","",24.22,2006
"Europe","United Kingdom","Leeds","",4.2,31000,"",NA,NA,NA,"",NA,NA,"","","",NA,1995
"Europe","United Kingdom","London","",20,9000,"",NA,NA,NA,"",NA,NA,"","","",NA,2010
"Europe","United Kingdom","Luton","",5,30000,"",NA,NA,NA,"",NA,NA,"","","",NA,2006
"Europe","United Kingdom","Manchester","A6 Corridor",15.5,21000,"",NA,NA,5.27,"16",10,NA,"","None","310",NA,1996
"Europe","United Kingdom","Runcorn","",19.3,NA,"",NA,NA,NA,"31",6,NA,"","None","",NA,1971
"Europe","United Kingdom","Swansea","",13.5,5000,"",NA,NA,NA,"",NA,NA,"","","",NA,2009
"Europe","United Kingdom","York","FTR",5,5500,"",NA,NA,NA,"",NA,NA,"","","",NA,2006
"Latin America","Argentina","Buenos Aires","9 de Julio",3,250000,"None",0,3,0,"",NA,NA,"No","Partial","600",NA,2013
"Latin America","Argentina","Buenos Aires","Juan B. Justo",12.5,100000,"None",0,0,12.5,"24",30,3500,"No","Partial","590",NA,2011
"Latin America","Argentina","Buenos Aires","Sur - Ramal Coronel Roca",9.3,250000,"None",0,0,9.3,"",NA,NA,"No","Partial","664.3",NA,2013
"Latin America","Argentina","Buenos Aires","Sur - Ramal Fernandéz de la Cruz",13.7,250000,"None",0,0,13.7,"",NA,NA,"No","Partial","761.1",NA,2013
