"CITY","COUNTRY","CONTINENT","SYSTEM","OPENING","NETWORK_LENGTH","STATIONS","STATIONS1","LINES","AVG_STATION_DISTANCE","AVG_LINE_LENGTH","STATIONS_PER_LINE","DAILY_RIDERSHIP","RIDERSHIP_PER_KM","ANNUAL_RIDERSHIP","RIDERSHIP_YEAR","FARE","TRACKS","GAUGE","POWER_SUPPLY","VOLTAGE","DRIVERLESS","RUBBER_TYRED","DRIVERLESS_SINCE","PLATFORM_SCREEN_DOORS","AIRCON_TRAINS","WALK_THROUGH","REMARKS"
"Adana","Turkey","Asia","Metro","18 Mar 2009","13.5 km",13,13,1,"1,125 m",13.5,13,"","","",NA,"","","","","","","",NA,"","","",""
"Algiers","Algeria","Africa","Metro","1 Nov 2011","13.5 km",14,14,1,"1,038 m",13.5,14,"","","",NA,"","","1435","third rail","750","","",NA,"","yes","yes",""
"Almaty","Kazakhstan","Asia","Metro","1 Jan 2011","10.3 km",9,9,1,"1,293 m",10.3,9,"19,200","1,850","7 million",2012,"","","","","","","",NA,"","","",""
"Amsterdam","Netherlands","Europe","Metro","16 Oct 1977","32.7 km",33,33,4,"1,128 m",8.2,8.3,"233,000","7,120","85 million",2009,"2.09 EUR","right","1435","third rail","750","","",NA,"","M5 type train sets","M5 type train sets","Sneltram not included (9.8 km, 19 stations; 'Metros in Holland')"
"Ankara","Turkey","Asia","Metro","30 Aug 1996","55.1 km",45,44,4,"1,344 m",13.8,11.3,"310,000","5,620","113 million",2007,"","right","1435","third rail","750","metro line","",1997,"","yes","yes",""
"Antwerp","Belgium","Europe","Premetro","25 Mar 1975","7.6 km",11,11,2,"844 m",3.8,5.5,"","","",NA,"","","1000","overhead wire","600","","",NA,"","","",""
"Athens","Greece","Europe","Metro","1954","60.3 km",65,61,3,"973 m",20.1,21.7,"937,000","15,500","342 million",2008,"1.00 EUR","right","1435","third rail","600","","",NA,"","yes","yes","airport line not included (21 km and 4 stations more): 81,3 km + 69 st"
"Atlanta","USA","America","MARTA","30 Jun 1979","79.2 km",39,38,2,"2,141 m",39.6,19.5,"93,200","1,180","34 million",2007,"","right","1435","third rail","750","","",NA,"","yes","",""
"Baku","Azerbaijan","Asia","Metro","6 Nov 1967","34.6 km",23,22,2,"1,646 m",17.3,11.5,"501,000","14,500","183 million",2011,"","right","1520","third rail","825","","",NA,"","","",""
"Baltimore","USA","America","Metro Subway","21 Nov 1983","24.5 km",14,14,1,"1,885 m",24.5,14,"49,300","2,010","18 million",2011,"","right","1435","third rail","700","","",NA,"","yes","",""
"Bangalore","India","Asia","Metro","15 Sep 2011","24.4 km",25,25,2,"1,061 m",12.2,12.5,"","","",NA,"","","","","","","",NA,"","","",""
"Bangkok","Thailand","Asia","Skytrain, MRT","5 Dec 1999","86.4 km",61,55,4,"1,516 m",21.6,15.3,"671,000","7,770","245 million",2011,"0.64 EUR","left","1435","linear","","Green line","",1999,"Green line, Blue line","yes","",""
"Barcelona","Spain","Europe","Metro","30 Dec 1924","139.4 km",178,147,11,"835 m",12.7,16.2,"1.07 million","7,650","389 million",2011,"1.35 EUR","right","1435","third rail (TMB), overhead wire (FGC)","1200","lines L9, L10, L11","",2009,"lines L9, L10, L11","yes","yes","Tram lines not included (1.8 km subway tram line, T5)"
"Beijing","China","Asia","Subway","1 Oct 1969","554.0 km",334,278,18,"1,753 m",30.8,18.6,"6.74 million","12,200","2,460 million",2012,"0.15 EUR","right","1435","third rail","825","","",NA,"PGDs on lines 5, 13. PSDs on lines 8, 10","yes","all lines",""
"Belo Horizonte","Brazil","America","Metr�","1 Aug 1986","28.1 km",19,19,1,"1,563 m",28.1,19,"","","",NA,"","right","","","","","",NA,"","","","According to official website"
"Berlin","Germany","Europe","U-Bahn","18 Feb 1902","147.4 km",195,173,10,"797 m",14.7,19.5,"1.38 million","9,390","505 million",2011,"2.10 EUR","right","1435","third rail","750","","",NA,"","","yes",""
"Bielefeld","Germany","Europe","Stadtbahn","21 Sep 1971","5.2 km",7,7,4,"1,733 m",1.3,1.8,"","","",NA,"","right","","","","","",NA,"","","","Full metro section length unknown. Only metro section included"
"Bilbao","Spain","Europe","Metro","11 Nov 1995","43.4 km",41,41,2,"1,113 m",21.7,20.5,"247,000","5,680","90 million",2011,"","left","1000","overhead wire","1500","","",NA,"","yes","yes","According to Metro Bilbao"
"Bochum","Germany","Europe","Stadtbahn","26 May 1979","21.5 km",29,27,2,"797 m",10.8,14.5,"","","",NA,"","right","1435","overhead wire","660","","",NA,"","","","Rhein-Ruhr Stadtbahn Album 2"
"Bonn","Germany","Europe","Stadtbahn","22 Mar 1975","9.0 km",12,12,1,"818 m",9,12,"","","",NA,"","right","1435","overhead wire","750","","",NA,"","","","9 km, 12 stations underground. Approx. 17 km metro-like"
"Boston","USA","America","The T","1 Sep 1897","60.5 km",66,60,3,"960 m",20.2,22,"403,000","6,660","147 million",2010,"","right","1435","third rail, overhead wire (Green Line)","600","","",NA,"","yes","","Green and Red Lines' tram section not included"
"Brasilia","Brazil","America","Metr�","31 Mar 2001","42.0 km",24,24,1,"1,826 m",42,24,"151,000","3,590","55 million",2009,"","right","","","","","",NA,"","","",""
"Brescia","Italy","Europe","Metro","22 Dec 2012","13.1 km",17,17,1,"819 m",13.1,17,"","","",NA,"","","","","","metro","",2012,"","","","According to official website"
"Brussels","Belgium","Europe","M_tro","20 Sep 1976","32.2 km",61,59,3,"555 m",10.7,20.3,"364,000","11,300","133 million",2009,"1.53 EUR","right (left on lines 1 and 6 between Midi and Roi Baudouin)","1435","third rail","900","","",NA,"","","line 1","Premetro tunnels not included, 11 stations"
"Bucharest","Romania","Europe","Metro","16 Nov 1979","69.3 km",50,45,4,"1,505 m",17.3,12.5,"468,000","6,770","171 million",2011,"0.40 EUR","right","1435","third rail","825","","",NA,"","","",""
"Budapest","Hungary","Europe","Metro","2 May 1896","33.0 km",42,40,3,"846 m",11,14,"827,000","25,100","302 million",2011,"0.95 EUR","right","1435","third rail, overhead wire (Line M1)","825, 600 (Line M1)","","",NA,"","","",""
"Buenos Aires","Argentina","America","Subte","1 Dec 1913","53.9 km",85,73,6,"682 m",9,14.2,"844,000","15,700","308 million",2011,"0.24 EUR","left","1435","overhead wire, third rail (Line B)","1500, 1100 (Line B)","","",NA,"","","yes","Premetro line not included"
"Buffalo","USA","America","Metro Rail","18 May 1985","8.4 km",8,8,1,"1,194 m",8.4,8,"","","",NA,"","right","","","","","",NA,"","","","Only tunnel section"
"Bursa","Turkey","Asia","Bursaray","19 Aug 2002","31.5 km",31,31,2,"1,086 m",15.8,15.5,"","","",NA,"","","","","","","",NA,"","","",""
"Busan","South Korea","Asia","Subway","19 Jul 1985","133.4 km",128,120,5,"1,085 m",26.7,25.6,"877,000","6,570","320 million",2012,"","right","","","","Line 4","Line 4",2011,"line 3","","",""
"Cairo","Egypt","Africa","Metro","27 Sep 1987","77.9 km",64,61,3,"1,277 m",26,21.3,"2.29 million","29,400","837 million",2010,"0.14 EUR","left","1435","overhead wire","1500","","",NA,"","5 stations","",""
"Caracas","Venezuela","America","Metro","27 Mar 1983","66.5 km",54,54,6,"1,386 m",11.1,9,"1.33 million","20,000","485 million",2009,"0.31 EUR","","1435","third rail","750","","",NA,"","yes","","Metro Los Teques included (11.2km)"
"Catania","Italy","Europe","Metropolitana","27 Jun 1999","3.8 km",6,6,1,"760 m",3.8,6,"","","",NA,"","right","1435","overhead wire","3000","","",NA,"","","","metroitaliane.it"
"Changchun","China","Asia","LRT","Oct 2002","17.0 km",16,16,1,"1,133 m",17,16,"","","",NA,"","right","","","","","",NA,"","","","(17 km, 16 stations on viaduct = metro). 14.6 km, 17 st on streets"
"Changsha","China","Asia","Metro","29 Apr 2014","26.6 km",23,23,1,"1,209 m",26.6,23,"","","",NA,"","","","","","","",NA,"","","",""
"Charleroi","Belgium","Europe","M_tro L_ger","21 Jun 1976","17.5 km",23,23,4,"921 m",4.4,5.8,"","","",NA,"","","","","","","",NA,"","","","total length 33,3 km, 12 underground stations, 23 full metro stations. Wiki"
"Chengdu","China","Asia","Metro","27 Sep 2010","88.2 km",70,67,3,"1,316 m",29.4,23.3,"282,000","3,200","103 million",2012,"","right","","","","","",NA,"yes","yes","","http://railway-technology.com/projects/chengdu-metro"
"Chennai","India","Asia","MRTS","19 Oct 1997","37.0 km",24,24,2,"1,682 m",18.5,12,"","","",NA,"","","","","","","",NA,"","","",""
"Chiba","Japan","Asia","Monorail","28 Mar 1988","15.5 km",18,18,2,"969 m",7.8,9,"","","",NA,"","left","","","","","",NA,"","","",""
"Chicago","USA","America","L","6 Jun 1892","166.0 km",153,145,8,"1,145 m",20.8,19.1,"608,000","3,660","222 million",2011,"1.58 EUR","right","1435","third rail","600","","",NA,"","yes","","151 Stations and 173 km (UrbanRail.net)"
"Chongqing","China","Asia","Monorail","18 Jun 2005","203.0 km",118,111,4,"1,780 m",50.7,29.5,"","","",NA,"","right","","","","","",NA,"The three underground stations (Daping, Linjiangmen, and Jiaochangkou) have PSDs","yes","yes",""
"Cleveland","USA","America","Rapid Transit","15 Mar 1955","31.0 km",18,18,1,"1,824 m",31,18,"16,400","530","6 million",2011,"","right","1435","overhead wire","600","","",NA,"","","","2 Light Rail lines not included"
"Cologne","Germany","Europe","Stadtbahn","11 Oct 1968","47.4 km",55,55,15,"1,185 m",3.2,3.7,"","","",NA,"","right","1435","overhead wire","750","","",NA,"","new light rail trains only","yes","Approx. 45 km metro-like. 30 km underground."
"Copenhagen","Denmark","Europe","Metro","19 Oct 2002","21.0 km",22,22,2,"1,050 m",10.5,11,"148,000","7,050","54 million",2011,"2.81 EUR","right","1435","third rail","750","all metro lines","",2002,"all underground stations","all metro and S-Tog trains","yes","According to official website"
"Daegu","South Korea","Asia","Subway","26 Nov 1997","81.2 km",89,86,3,"944 m",27.1,29.7,"348,000","4,290","127 million",2012,"","","","","","","",NA,"lines 1, 2","","",""
"Daejeon","South Korea","Asia","Subway","16 Mar 2006","22.6 km",22,22,1,"1,076 m",22.6,22,"104,000","4,610","38 million",2011,"","","","","","","",NA,"yes","","",""
"Dalian","China","Asia","Metro","1 May 2003","141.0 km",56,55,4,"2,712 m",35.3,14,"121,000","854","44 million",2012,"","right","","","","","",NA,"","","","Metro and suburban service"
"Delhi","India","Asia","Metro","24 Dec 2002","214.9 km",163,152,7,"1,378 m",30.7,23.3,"1.66 million","7,730","606 million",2011,"0.12 EUR","left","1676, 1435 (Green, Violet lines)","overhead wire","25000","","",NA,"Line 5, Airport Metro Express","yes","yes","Gurgaon metro included"
"Detroit","USA","America","People Mover","Jul 1987","4.8 km",13,13,1,"400 m",4.8,13,"","","",NA,"","right","1435","third rail","600","downtown people mover, LIM technology","",1987,"","yes","",""
"Dnepropetrovsk","Ukraine","Europe","Metro","29 Dec 1995","7.1 km",6,6,1,"1,420 m",7.1,6,"24,700","3,470","9 million",2010,"","","1520","third rail","825","","",NA,"","","","According to Mr. Yuri Popov"
"Dortmund","Germany","Europe","Stadtbahn","17 May 1976","29.5 km",37,37,3,"866 m",9.8,12.3,"","","",NA,"","right","1435","overhead wire","600","H-Bahn","",1984,"","","yes","Rhein-Ruhr Stadtbahn Album 2"
"Dubai","United Arab Emirates","Asia","Metro","9 Sep 2009","69.7 km",47,45,2,"1,549 m",34.8,23.5,"299,000","4,280","109 million",2012,"0.56 EUR","right","1435","third rail","750","metro","",2009,"metro, monorail","yes","yes",""
"Duesseldorf","Germany","Europe","Stadtbahn","4 Oct 1981","9.6 km",14,14,2,"798 m",4.8,7,"","","",NA,"","right","1435","overhead wire","600","","",NA,"","","yes","Rhein-Ruhr Stadtbahn Album 1"
"Duisburg","Germany","Europe","Stadtbahn","11 Jul 1992","14.3 km",13,13,2,"1,304 m",7.2,6.5,"","","",NA,"","right","","","","","",NA,"","","yes","Rhein-Ruhr Stadtbahn Album 1"
"Edmonton","Canada","America","Light Rail","22 Apr 1978","20.4 km",15,15,1,"1,457 m",20.4,15,"","","",NA,"","right","","","","","",NA,"","","",""
"Esfahan","Iran","Asia","Urban railway","15 Oct 2015","11.2 km",10,10,1,"1,244 m",11.2,10,"","","",NA,"","","","","","","",NA,"","","",""
"Essen","Germany","Europe","Stadtbahn","5 Oct 1967","20.2 km",27,27,3,"842 m",6.7,9,"","","",NA,"","right","1435","overhead wire","750","","",NA,"","","yes","Rhein-Ruhr Stadtbahn Album 1"
"Frankfurt","Germany","Europe","U-Bahn","4 Oct 1968","20.5 km",31,27,3,"732 m",6.8,10.3,"","","",NA,"2.30 EUR","right","1435","overhead wire","750","","",NA,"","","yes","20.40 km, 27 stations underground ('Schnellbahnen in Deutschland')"
"Fukuoka","Japan","Asia","Subway","26 Jul 1981","29.8 km",35,34,3,"931 m",9.9,11.7,"340,000","11,400","124 million",2007,"","left","1067","overhead wire","1500","","",NA,"yes","","yes","According to Mr. Osamu Abe"
"Gelsenkirchen","Germany","Europe","Stadtbahn","1 Sep 1984","5.5 km",9,9,1,"690 m",5.5,9,"","","",NA,"","right","1000","overhead wire","600","","",NA,"","","","Rhein-Ruhr Stadtbahn Album 2"
"Genoa","Italy","Europe","Metropolitana","13 Jun 1990","7.1 km",8,8,1,"1,014 m",7.1,8,"","","",NA,"","right","1435","overhead wire","750","","",NA,"","","yes","metroitaliane.it"
"Glasgow","United Kingdom","Europe","Subway","14 Dec 1896","10.4 km",15,15,1,"743 m",10.4,15,"35,600","3,420","13 million",2011,"","left","1219","third rail","600","","",NA,"","","",""
"Guadalajara","Mexico","America","Metro","1 Sep 1989","24.0 km",29,28,2,"889 m",12,14.5,"","","",NA,"","right","","","","","",NA,"","","",""
"Guangzhou","China","Asia","Metro","28 Jun 1999","263.5 km",171,149,9,"1,627 m",29.3,19,"5 million","19,000","1,825 million",2012,"","right","1435","third rail","825","APM line (underground people mover)","Zhujiang people mover",2010,"yes","yes","yes","APM included (3,9 km +9 stations)"
"Gwangju","South Korea","Asia","Subway","28 Apr 2004","20.1 km",20,20,1,"1,058 m",20.1,20,"49,300","2,450","18 million",2011,"","","","","","","",NA,"yes","","",""
"Haifa","Israel","Asia","Carmelit","1959","1.8 km",6,6,1,"350 m",1.8,6,"","","",NA,"","","","","","","",NA,"","","",""
"Hamburg","Germany","Europe","U-Bahn","1 Mar 1912","104.7 km",99,91,4,"1,102 m",26.2,24.8,"545,000","5,210","199 million",2011,"","right","1435","third rail","750","","",NA,"","DT5 type train sets","DT5 type train sets","According to official website"
"Hangzhou","China","Asia","Metro","24 Nov 2012","81.5 km",57,53,3,"1,509 m",27.2,19,"","","",NA,"","","","","","","",NA,"","","","Wikipedia"
"Hanover","Germany","Europe","Stadtbahn","28 Sep 1975","18.6 km",21,17,3,"1,033 m",6.2,7,"","","",NA,"","right","1435","overhead wire","600","","",NA,"","","yes","18.60 km, 17 stations underground ('Schnellbahnen in Deutschland')"
"Harbin","China","Asia","Subway","26 Sep 2013","17.5 km",18,18,1,"1,029 m",17.5,18,"","","",NA,"","","","","","","",NA,"","","",""
"Helsinki","Finland","Europe","Metro","3 Aug 1982","21.0 km",17,17,1,"1,313 m",21,17,"170,000","8,090","62 million",2011,"2.10 EUR","right","1524","third rail","750","","",NA,"","","yes","According to Metros in Skandinavien (R.Schwandl)"
"Hiroshima","Japan","Asia","Monorail","20 Aug 1994","18.4 km",22,22,1,"876 m",18.4,22,"49,300","2,680","18 million",2005,"","left","","","","","yes",NA,"","","","According to Mr. Osamu Abe"
"Hong Kong","Hong Kong S.A.R.","Asia","MTR","1 Oct 1979","178.0 km",97,84,10,"2,046 m",17.8,9.7,"3.96 million","22,200","1,444 million",2012,"0.91 EUR","left","1435","overhead wire","1500 (MTR), 25000 (KCR)","Disneyland Resort Line","SI, WI lines, planned",2005,"all underground stations","yes","yes",""
"Incheon","South Korea","Asia","Subway","6 Oct 1999","29.5 km",29,29,1,"1,054 m",29.5,29,"244,000","8,270","89 million",2012,"","","","","","","",NA,"yes","","",""
"Istanbul","Turkey","Europe","Metro","16 Sep 2000","90.0 km",70,67,5,"1,385 m",18,14,"214,000","2,370","78 million",2011,"0.63 EUR","right","1435","overhead wire, third rail (Line M2)","750","","",NA,"Seyrantepe station on line M2","some lines","some lines","Wikipedia. Hafif Metro not included (25.8 km, 24 stations, 2 lines)"
"Izmir","Turkey","Asia","Metro","22 May 2000","20.1 km",17,17,1,"1,256 m",20.1,17,"173,000","8,590","63 million",2011,"","","1435","third rail","750","","",NA,"","","",""
"Jacksonville","USA","America","Skyway","30 May 1989","6.9 km",6,6,1,"1,380 m",6.9,6,"","","",NA,"","right","2060","third rail","750","downtown monorail people mover","",1989,"","","",""
"Jaipur","India","Asia","Metro","3 Jun 2015","9.6 km",9,9,1,"1,200 m",9.6,9,"","","",NA,"","","","","","","",NA,"","","",""
"Kamakura","Japan","Asia","Monorail","3 Mar 1970","6.6 km",8,8,1,"943 m",6.6,8,"","","",NA,"","left","","","","","",NA,"","","","Shonan Monorail."
"Kaohsiung","Taiwan","Asia","MRT","9 Mar 2008","45.0 km",38,37,2,"1,250 m",22.5,19,"142,000","3,170","52 million",2012,"","","1435","third rail","750","","",NA,"MRT","","",""
"Kazan","Russia","Europe","Metro","27 Aug 2005","15.8 km",10,10,1,"1,756 m",15.8,10,"74,000","4,680","27 million",2012,"","right","","","","","",NA,"","","","According to Mr. Yuri Popov"
"Kharkov","Ukraine","Europe","Metro","23 Aug 1975","37.4 km",29,26,3,"1,438 m",12.5,9.7,"685,000","18,300","250 million",2011,"","right","","","","","",NA,"","","","According to Mr. Yuri Popov"
"Kiev","Ukraine","Europe","Metro","22 Oct 1960","67.6 km",52,49,3,"1,380 m",22.5,17.3,"1.42 million","21,000","519 million",2011,"0.27 EUR","right","1520","third rail","825","","",NA,"","","",""
"Kitakyushu","Japan","Asia","Monorail","9 Jan 1985","8.8 km",13,13,1,"733 m",8.8,13,"","","",NA,"","left","","","","","",NA,"","","yes",""
"Kobe","Japan","Asia","Subway","13 Mar 1977","30.6 km",26,24,2,"1,275 m",15.3,13,"332,000","10,800","121 million",2008,"","left","1435","overhead wire, third rail (Portliner)","1500, 600 (Portliner)","Port Liner and Rokko Liner, rubber-tyred","Port Liner and Rokko Liner",1981,"Port Liner and Rokko Liner","","yes","According to Mr. Osamu Abe. Portliner, Rokko lines not included (15 st)"
"Kolkata","India","Asia","Metro Railway","24 Oct 1984","29.7 km",24,24,1,"1,291 m",29.7,24,"474,000","16,000","173 million",2009,"","right","","","","","",NA,"","","","25 km wikipedia, 27.50 km urbanrail ???"
"Kryvyi Rih","Ukraine","Europe","Metrotram","26 Dec 1986","18.0 km",12,12,1,"1,636 m",18,12,"","","",NA,"","","","","","","",NA,"","","",""
"Kuala Lumpur","Malaysia","Asia","LRT, Monorail","16 Dec 1996","64.0 km",60,56,3,"1,123 m",21.3,20,"299,000","4,670","109 million",2008,"0.37 EUR","left","","","","LRT","",1996,"KLIA line to airport, Kelana Jaya line's underground stations","yes","",""
"Kunming","China","Asia","Metro","28 Jun 2012","58.5 km",33,33,3,"1,950 m",19.5,11,"","","",NA,"","","","","","","",NA,"","","yes",""
"Kyoto","Japan","Asia","Subway","1 Apr 1981","31.3 km",32,31,2,"1,043 m",15.6,16,"345,000","11,000","126 million",2008,"","left","1435","overhead wire","1500","","",NA,"Tozai line","","yes",""
"Las Vegas","USA","America","Monorail","15 Jul 2004","6.2 km",7,7,1,"1,033 m",6.2,7,"","","",NA,"","right","","","","monorail","",2004,"yes","","","Hotels monorails not included"
"Lausanne","Switzerland","Europe","Metro","24 May 1991","13.7 km",29,28,2,"507 m",6.8,14.5,"","","",NA,"","","","","","line m2","line m2",2008,"Line m2","","yes","Only m2 is a full metro (27.10.2008: 5.9 km, 14 sta). Line m1: 3 underground stations"
"Lille","France","Europe","M_tro","25 Apr 1983","45.5 km",62,60,2,"758 m",22.8,31,"263,000","5,780","96 million",2009,"","right","2060","third rail","750","VAL","yes",1983,"VAL, all stations","","yes",""
"Lima","Peru","America","Tren Urbano","5 Apr 2012","34.4 km",26,26,1,"1,376 m",34.4,26,"","","",NA,"0.29 EUR","","","","","","",NA,"","","",""
"Lisbon","Portugal","Europe","Metro","29 Dec 1959","44.3 km",55,49,4,"869 m",11.1,13.8,"501,000","11,300","183 million",2010,"0.80 EUR","left","1435","third rail","750","","",NA,"","","yes",""
"London","United Kingdom","Europe","Underground","10 Jan 1863","402.0 km",270,270,11,"1,552 m",36.5,24.5,"3.21 million","7,980","1,171 million",2011,"2.75 EUR","left","1435","third rail","600, 750 (DLR)","Docklands Light Rail","",1987,"Jubilee Line extension","Metropolitan Line","Metropolitan Line, DLR","DLR not included (31.4 km, 39 stations). East London Line removed (will be assigned to Overground). Overground: 86 km, 55 st."
"Los Angeles","USA","America","Metro Rail","30 Jan 1993","59.3 km",30,30,3,"2,196 m",19.8,10,"126,000","2,130","46 million",2011,"1.91 EUR","right","1435","overhead wire, third rail (Red, Purple lines)","750","","",NA,"","yes","","Red, Purple and Green lines"
"Ludwigshafen","Germany","Europe","Stadtbahn","29 May 1969","4.0 km",11,11,0,"364 m",NA,NA,"","","",NA,"","right","","","","","",NA,"","","","Full metro section length unknown."
"Lyon","France","Europe","M_tro","28 Apr 1978","31.8 km",44,40,4,"795 m",7.9,11,"704,000","22,100","257 million",2009,"1.60 EUR","left","1435","third rail","750","line D/Maggaly, rubber-tyred, no PSDs","yes",1991,"","","",""
"Madrid","Spain","Europe","Metro","17 Oct 1919","293.0 km",292,232,13,"1,050 m",22.5,22.5,"1.74 million","5,940","635 million",2011,"1.00 EUR","left","1445","overhead wire","600","","",NA,"tests in 2010, plans for 2011","yes","yes","ML1, ML2, ML3 not included (27.8 km, 37 st.; Embajadores=Acacias)"
