"city","country","country_ITDP","city_ITDP","year","system","corridor","corridor_length","a","a1","a2","a3","a4","a5","b","b1","b2","b3","b4","b5","b6","b7","c","c1","c2","c3","c4","c5","d","d1","d2","d3","d4","d5","e","e1","e2","f","f1","f2","f3","f4","f5","f6","score","g","g1","g2","g3","g4","g5","g6","g7","g8","total_score","classification","gdp","continent","pop_density","corridors_city_length","population","bus_split","net_score","id","x_a","x_b","x_c","x_d","x_e","x_f","x_g","productivity","demand","system_length","speed","year_system_commenced","peak_frequency","peak_load_pax"
"Las Vegas","United States","USA","Las Vegas, NV",2013,"(no BRT system name)","Strip & Downtown Express (SDX)",2,69.7,85.7,85.7,42.9,50,83.3,50,100,0,66.7,100,0,100,100,35.7,0,100,33.3,0,50,60,100,33.3,100,0,0,80,100,50,50,100,33.3,66.7,0,50,0,57,-8.3,0,0,0,-60,0,0,0,0,54,"Basic",54630,"Northern America",1288.9,63,606762,3.6,54,80,69.7,50,35.7,60,80,50,-8.3,542.3,34189,63.05,21,2004,NA,NA
"Lianyungang","China","China","Lianyungang",2014,"Lianyungang BRT","Xingfu-Hailian-Xingangcheng-Gangcheng",32.8,81.6,100,100,100,0,100,57.9,100,0,100,100,0,100,0,28.6,0,33.3,0,50,100,80,0,100,100,100,100,100,100,100,35.7,0,100,0,0,100,0,64,-6.7,-30,0,0,0,0,0,0,0,61,"Bronze",7590,"Asia",805.4,34,967000,NA,61,16,81.6,57.9,28.6,80,100,35.7,-6.7,588.2,20000,34,18,2012,25,1650
"Lima","Peru","Peru","Lima",2013,"El Metropolitano","(only 1 line)",16.8,97,100,100,100,83.3,100,95.8,100,100,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,80,100,50,42.9,100,0,66.7,50,0,0,89,-2.8,0,0,-20,0,0,100,100,0,88,"Gold",6541,"Latin America",3008.8,26,7605742,62,88,81,97,95.8,100,100,80,42.9,-2.8,13461.5,350000,26,25.5,1972,117,22800
"Los Angeles","United States","USA","Los Angeles, CA",2013,"(no BRT system name)","Orange line",23,75.8,100,100,85.7,83.3,0,54.2,0,0,100,0,100,100,0,64.3,100,100,0,0,100,50,0,33.3,100,100,0,100,100,100,57.1,100,0,33.3,100,100,0,65,0,0,0,0,0,0,100,100,0,65,"Bronze",54630,"Northern America",1017,22.9,3792621,23,65,82,75.8,54.2,64.3,50,100,57.1,0,1441,33000,22.9,32,2005,15,NA
"Medellin","Colombia","Colombia","Medellin",2013,"Metroplús","(no corridor name)",12.5,97,100,100,100,83.3,100,70.8,0,0,100,100,100,100,100,92.9,75,100,100,100,100,100,100,100,100,100,100,100,100,100,57.1,100,100,66.7,0,0,0,85,0,0,0,0,0,0,100,100,0,85,"Gold",7904,"Latin America",5840,18,2223078,51,85,83,97,70.8,92.9,100,100,57.1,0,3333.3,60000,18,16,2011,40,2450
"Mexico City","Mexico","Mexico","Mexico City",2013,"Metrobus","Line 1",28.1,97,100,100,100,83.3,100,83.3,100,0,66.7,100,100,100,100,50,0,0,100,100,100,80,100,100,100,0,0,80,100,50,35.7,66.7,33.3,66.7,0,0,0,76,-8.3,0,0,0,0,-100,100,100,0,73,"Silver",10326,"Latin America",5871,105,8851080,77.9,73,85,85.95,78.58,58.77,77.8,80,43.38,-6.42,8520,1065000,125,NA,2005,77,12000
"Mexico City","Mexico","Mexico","Mexico City",2013,"Metrobus","Line 2",20,87.9,100,71.4,100,66.7,100,83.3,100,0,66.7,100,100,100,100,57.1,0,33.3,100,100,100,80,100,100,100,0,0,80,100,50,42.9,66.7,66.7,66.7,0,0,0,75,0,0,0,0,0,0,100,100,0,75,"Silver",10326,"Latin America",5871,105,8851080,77.9,75,86,85.95,78.58,58.77,77.8,80,43.38,-6.42,8520,1065000,125,NA,2005,77,12000
"Mexico City","Mexico","Mexico","Mexico City",2013,"Metrobus","Line 3",17,93.9,100,100,100,66.7,100,83.3,100,0,66.7,100,100,100,100,64.3,0,66.7,100,100,100,80,100,100,100,0,0,80,100,50,42.9,66.7,66.7,66.7,0,0,0,78,0,0,0,0,0,0,100,100,0,78,"Silver",10326,"Latin America",5871,105,8851080,77.9,78,84,85.95,78.58,58.77,77.8,80,43.38,-6.42,8520,1065000,125,NA,2005,77,12000
"Mexico City","Mexico","Mexico","Mexico City",2013,"Metrobus","Line 4",28,60.6,85.7,71.4,0,50,100,62.5,100,0,66.7,0,0,100,100,50,0,100,66.7,0,100,60,100,33.3,100,0,0,80,100,50,64.3,100,33.3,100,50,0,100,61,-16.7,-60,0,0,0,0,100,100,0,55,"Bronze",10326,"Latin America",5871,105,8851080,77.9,55,87,85.95,78.58,58.77,77.8,80,43.38,-6.42,8520,1065000,125,NA,2005,77,12000
"Mexico City","Mexico","Mexico","Mexico City",2013,"Mexibus","Line 1",16,100,100,100,100,100,100,87.5,100,100,33.3,100,100,100,50,85.7,100,66.7,100,100,50,100,100,100,100,200,0,80,100,50,21.4,33.3,33.3,33.3,0,0,0,83,0,0,0,0,0,0,100,100,0,83,"Silver",10326,"Latin America",5871,105,8851080,77.9,83,88,85.95,78.58,58.77,77.8,80,43.38,-6.42,8520,1065000,125,NA,2005,77,12000
"Mexico City","Mexico","Mexico","Mexico City",2014,"Metrobus","L5 Río de los Remedios - San Lazaro",10,100,100,100,100,100,100,63.2,0,0,100,100,100,100,100,57.1,0,66.7,100,50,100,80,100,100,100,0,0,100,100,100,78.6,100,66.7,100,50,100,0,82,0,0,0,0,0,0,0,0,0,82,"Silver",10326,"Latin America",5871,105,8851080,77.9,82,18,98.46,60.06,74.03,85.92,88.16,53.21,-7.87,8520,1065000,125,NA,2005,77,12000
"Mexico City","Mexico","Mexico","Mexico City",2014,"Mexibus","L3 Pantitlán-Chimalhuacan",14.5,97.4,100,100,100,85.7,100,57.9,0,100,33.3,100,100,100,0,85.7,100,66.7,100,50,100,90,100,100,100,100,0,80,100,50,35.7,66.7,0,66.7,0,50,0,78,-13.3,0,0,-20,0,-100,0,0,0,72,"Silver",10326,"Latin America",5871,105,8851080,77.9,72,17,98.46,60.06,74.03,85.92,88.16,53.21,-7.87,8520,1065000,125,NA,2005,77,12000
"Monterrey","Mexico","Mexico","Monterrey",2014,"Ecovia","Lincoln-Ruiz Cortines",30,97.4,100,100,100,85.7,100,57.9,0,0,66.7,100,100,100,100,57.1,0,33.3,100,100,100,90,100,100,100,0,100,80,100,50,42.9,66.7,66.7,33.3,50,0,0,75,0,0,0,0,0,0,0,0,0,75,"Silver",10326,"Latin America",553.1,30.1,1135550,54.5,75,19,97.4,57.9,57.1,90,80,42.9,0,NA,NA,30.1,NA,2014,NA,NA
"Nantes","France","France","Nantes",2013,"Nantes Busway","Line 4",7,84.8,100,100,85.7,66.7,66.7,62.5,0,0,100,100,100,100,0,21.4,0,66.7,33.3,0,0,70,100,66.7,100,0,0,100,100,100,78.6,100,100,100,50,0,100,69,0,0,0,0,0,0,100,100,0,69,"Bronze",42733,"Europe",264.4,6.9,284970,16,69,89,84.8,62.5,21.4,70,100,78.6,0,3623.2,25000,6.9,21,2006,17,2000
"Ottawa","Canada","Canada","Ottawa, ON",2013,"Transitway","(All corridors)",30,60.6,100,100,0,100,0,70.8,100,66.7,66.7,100,0,100,100,78.6,100,100,100,0,50,70,0,100,100,100,0,80,100,50,35.7,33.3,33.3,100,0,0,0,64,0,0,0,0,0,0,66.7,50,0,64,"Bronze",50235,"Northern America",209.6,35.4,951727,19,64,90,60.6,70.8,78.6,70,80,35.7,0,6214.7,220000,35.4,45,1983,180,10500
"Paris","France","France","Île-de-France (Greater Paris)",2014,"Trans-Val-de-Marne (TVM)","TVM (Antony-La Croix de Berny - Saint-Maur-Créteil",16.2,73.7,100,100,87.5,71.4,0,73.7,100,0,100,0,100,100,100,57.1,0,100,100,0,100,80,100,66.7,100,100,0,80,66.7,100,64.3,66.7,100,100,0,50,0,71,0,0,0,0,0,0,0,0,0,71,"Silver",42733,"Europe",711.7,41.2,2243833,34,71,20,73.7,73.7,57.1,80,80,64.3,0,2172.3,89500,41.2,23.5,1993,17,3000
"Perira","Colombia","Colombia","Perira",2013,"Megabús","(no corridor name)",19.15,100,100,100,100,100,100,79.2,100,0,66.7,100,100,100,50,50,0,0,100,100,100,90,100,100,100,0,100,80,100,50,35.7,100,0,66.7,0,0,0,77,0,0,0,0,0,0,100,100,0,77,"Silver",7904,"Latin America",828.1,29.2,469644,46,77,91,100,79.2,50,90,80,35.7,0,6193.5,96000,15.5,20,2006,42,6900
"Pittsburgh","United States","USA","Pittsburgh, PA",2013,"(no BRT system name)","Martin Luther King Jr. East Busway",14.6,60.6,100,100,0,100,0,54.2,100,66.7,0,100,0,100,50,78.6,100,66.7,100,0,100,50,0,33.3,100,100,0,0,0,0,50,66.7,66.7,66.7,50,0,0,56,0,0,0,0,0,0,66.7,0,0,56,"Bronze",54630,"Northern America",467.9,31,306211,6,56,93,60.6,51.09,74.94,60.17,0,31.85,0,1350.4,41861,31,47.2,1977,30,5000
"Pittsburgh","United States","USA","Pittsburgh, PA",2013,"(no BRT system name)","South Busway",6.9,60.6,100,100,0,100,0,45.8,100,66.7,0,100,0,100,50,71.4,100,33.3,100,0,100,70,100,33.3,100,100,0,0,0,0,14.3,33.3,0,33.3,0,0,0,50,0,0,0,0,0,0,0,0,0,50,"Basic",54630,"Northern America",467.9,31,306211,6,50,92,60.6,51.09,74.94,60.17,0,31.85,0,1350.4,41861,31,47.2,1977,30,5000
"Pittsburgh","United States","USA","Pittsburgh, PA",2013,"(no BRT system name)","West Busway",8.2,60.6,100,100,0,100,0,50,100,66.7,0,100,0,100,50,71.4,100,33.3,100,0,100,70,100,33.3,100,100,0,0,0,0,14.3,33.3,0,33.3,0,0,0,51,0,0,0,0,0,0,33.3,0,0,51,"Basic",54630,"Northern America",467.9,31,306211,6,51,94,60.6,51.09,74.94,60.17,0,31.85,0,1350.4,41861,31,47.2,1977,30,5000
"Puebla","Mexico","Mexico","Puebla",2014,"RUTA","Chachapa -Tlaxcalancingo",18.5,97.4,100,100,100,85.7,100,47.4,0,0,33.3,100,100,50,100,64.3,0,66.7,100,100,100,80,100,100,100,0,0,80,100,50,42.9,66.7,100,33.3,0,0,0,73,-8.9,0,0,0,0,0,0,0,-40,69,"Bronze",10326,"Latin America",76.6,32.3,1539819,40.6,69,21,97.4,47.4,64.3,80,80,42.9,-8.9,7792.7,251704,32.3,NA,2013,NA,NA
"Quito","Ecuador","Ecuador","Quito",2013,"Metrobus-Q","Trolebus, Central-Norte and Ecovia",40.9,87.9,100,57.1,100,83.3,100,100,100,100,100,100,100,100,100,50,0,100,100,50,0,90,100,100,100,0,100,60,66.7,50,42.9,100,33.3,66.7,0,0,0,78,-11.1,0,0,-20,0,-100,100,100,0,74,"Silver",6346,"Latin America",439.8,69.3,1619791,62,74,95,87.9,100,50,90,60,42.9,-11.1,12021.6,833095,69.3,17.8,1995,140,11700
"Quito","Ecuador","Ecuador","Quito",2014,"Metrobus","Corredor sur occidental",13.4,84.2,62.5,87.5,87.5,85.7,100,73.7,100,0,33.3,100,100,100,100,50,25,0,66.7,100,100,50,100,66.7,0,100,0,20,0,50,57.1,100,100,66.7,0,0,0,67,-11.1,-10,0,0,0,0,0,0,-40,62,"Bronze",6346,"Latin America",439.8,69.3,1619791,62,62,23,83.02,68.94,59.7,63.59,47.18,57.1,-13.14,12021.6,833095,69.3,17.8,1995,140,11700
"Quito","Ecuador","Ecuador","Quito",2014,"Metrobus","Corredor sur oriental",11.1,81.6,75,62.5,87.5,85.7,100,63.2,25,33.3,33.3,100,100,100,100,71.4,25,66.7,100,100,100,80,100,66.7,100,100,0,80,100,50,57.1,100,100,66.7,0,0,0,73,-15.6,-10,0,0,0,-60,0,0,-30,66,"Bronze",6346,"Latin America",439.8,69.3,1619791,62,66,22,83.02,68.94,59.7,63.59,47.18,57.1,-13.14,12021.6,833095,69.3,17.8,1995,140,11700
"Rio de Janeiro","Brazil","Brazil","Rio de Janeiro",2013,"(no BRT system name)","TransOeste",54.7,100,100,100,100,100,100,95.8,100,100,66.7,100,100,100,100,85.7,100,66.7,100,100,50,100,100,100,100,100,100,80,100,50,57.1,100,33.3,66.7,50,50,0,90,-5.6,0,0,0,-20,0,100,100,-12.5,88,"Gold",11384,"Latin America",2208.8,141,6476631,48.7,88,96,100,95.8,85.7,100,80,57.1,-5.6,22375.7,3132600,140,21.8,2011,600,65400
"Rio de Janeiro","Brazil","Brazil","Rio de Janeiro",2014,"(no BRT system name)","Transcarioca",39,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92.9,100,66.7,100,100,100,90,100,66.7,100,100,100,60,100,0,50,100,66.7,66.7,0,0,0,89,-6.7,0,0,-20,-40,0,0,0,0,86,"Gold",11384,"Latin America",2208.8,141,6476631,48.7,86,25,100,100,88.7,84.16,71.68,54.14,-18.38,22375.7,3132600,140,21.8,2011,600,65400
"Rio de Janeiro","Brazil","Brazil","Rio de Janeiro",2014,"(no BRT system name)","Transoeste",54.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,85.7,100,66.7,100,100,50,80,100,66.7,100,100,0,80,100,50,57.1,100,66.7,33.3,50,50,0,89,-26.7,0,0,0,-60,-100,0,0,-40,77,"Silver",11384,"Latin America",2208.8,141,6476631,48.7,77,24,100,100,88.7,84.16,71.68,54.14,-18.38,22375.7,3132600,140,21.8,2011,600,65400
"Rouen","France","France","Rouen",2013,"TEOR (Transport Est-Ouest Rouennais)","(All Corridors)",13,97,100,100,85.7,100,100,70.8,100,0,100,100,100,NA,0,14.3,0,0,66.7,0,0,80,100,66.7,100,100,0,80,66.7,100,78.6,100,100,100,50,50,0,74,-2.8,0,0,-20,0,0,100,100,0,73,"Silver",42733,"Europe",275.8,43.6,110933,10,73,97,97,70.8,14.3,80,80,78.6,-2.8,1350.5,42000,31.1,17.5,2001,30,NA
"San Bernardino","United States","USA","San Bernardino, CA",2014,"sbX","E Street",8.3,84.2,100,100,87.5,28.6,100,42.1,0,0,100,100,100,0,0,64.3,0,100,100,100,50,50,0,66.7,100,0,0,100,100,100,50,100,0,100,50,0,0,66,-6.7,0,0,0,0,0,-100,0,0,63,"Bronze",54630,"Northern America",59.5,25.7,2101053,6.6,63,26,84.2,42.1,64.3,50,100,50,-6.7,NA,NA,25.7,NA,2014,6,NA
"Santiago","Chile","Chile","Santiago",2014,"Transantiago","Avenida Grecia",10,55.3,87.5,100,0,85.7,0,73.7,100,0,100,100,100,100,0,50,100,0,100,0,0,70,100,33.3,100,100,0,40,66.7,0,35.7,33.3,66.7,66.7,0,0,0,56,0,0,0,0,0,0,0,0,0,56,"Bronze",14528,"Latin America",448,91.8,5879000,35,56,27,56.87,73.7,50,70,40,35.7,0,3710.4,340800,91.85,26.2,2006,185,13500
"Santiago","Chile","Chile","Santiago",2014,"Transantiago","Avenidas Las Industrias, Pedro Aguirre Cerda and Santa Rosa",15.2,57.9,100,100,0,85.7,0,73.7,100,0,100,100,100,100,0,50,100,0,100,0,0,70,100,33.3,100,100,0,40,66.7,0,35.7,33.3,66.7,66.7,0,0,0,57,0,0,0,0,0,0,0,0,0,57,"Bronze",14528,"Latin America",448,91.8,5879000,35,57,28,56.87,73.7,50,70,40,35.7,0,3710.4,340800,91.85,26.2,2006,185,13500
"Sao Paulo","Brazil","Brazil","São Paulo",2013,"(no BRT system Name)","Abd. Jabaquara",5,60.6,100,100,14.3,83.3,0,83.3,100,0,100,100,100,100,100,50,0,66.7,100,0,100,60,100,33.3,100,0,0,40,66.7,0,35.7,33.3,33.3,100,0,0,0,60,0,0,0,0,0,0,100,50,0,60,"Bronze",11384,"Latin America",2532.9,129.8,11967825,36.8,60,99,84.85,85.88,54.37,66.15,76.92,40.13,0,24607.1,3194000,129.8,19.3,1980,269,28024
"Sao Paulo","Brazil","Brazil","São Paulo",2013,"(no BRT system Name)","Expresso Tiradentes",8,100,100,100,100,100,100,87.5,100,0,100,100,100,100,100,57.1,0,66.7,100,50,100,70,0,100,100,100,0,100,100,100,42.9,66.7,33.3,100,0,0,0,80,0,0,0,0,0,0,100,100,0,80,"Silver",11384,"Latin America",2532.9,129.8,11967825,36.8,80,98,84.85,85.88,54.37,66.15,76.92,40.13,0,24607.1,3194000,129.8,19.3,1980,269,28024
"Seattle","United States","USA","Seattle",2014,"Metro","Downtown Seattle Transit Tunnel/SODO Busway",5.3,60.5,100,100,0,100,0,89.5,100,100,100,100,100,100,0,57.1,0,100,100,0,100,45,100,50,0,100,0,20,0,50,50,50,100,50,0,50,0,60.5,-11.1,0,0,0,0,0,-100,-100,0,55.5,"Bronze",54630,"Northern America",NA,NA,NA,NA,55.5,29,60.5,89.5,57.1,45,20,50,-11.1,NA,NA,NA,NA,NA,NA,NA
"Seoul","South Korea","South Korea","Seoul",2014,"(no system name)","Cheonho-Daero - East",9.2,52.6,62.5,100,0,100,0,89.5,100,66.7,66.7,100,100,100,100,57.1,0,100,100,0,100,40,100,33.3,0,100,0,40,0,100,57.1,66.7,100,100,0,0,0,59,-13.3,-60,0,0,0,0,0,0,0,53,"Basic",NA,"Asia",2176,43,10442426,NA,53,32,56.76,80.32,57.1,40,40,48.94,-13.3,9302.3,4e+05,43,17,2004,NA,8400
"Seoul","South Korea","South Korea","Seoul",2014,"(no system name)","Cheonho-Daero - West",5.4,57.9,100,100,0,85.7,0,78.9,100,0,66.7,100,100,100,100,57.1,0,100,100,0,100,40,100,33.3,0,100,0,40,0,100,42.9,0,100,100,0,0,0,57,-13.3,-60,0,0,0,0,0,0,0,51,"Basic",NA,"Asia",2176,43,10442426,NA,51,36,56.76,80.32,57.1,40,40,48.94,-13.3,9302.3,4e+05,43,17,2004,NA,8400
"Seoul","South Korea","South Korea","Seoul",2014,"(no system name)","Dongsomun-ro/Dobong-ro",14.3,57.9,100,100,0,85.7,0,78.9,100,0,66.7,100,100,100,100,57.1,0,100,100,0,100,40,100,33.3,0,100,0,40,0,100,42.9,0,100,100,0,0,0,57,-13.3,-60,0,0,0,0,0,0,0,51,"Basic",NA,"Asia",2176,43,10442426,NA,51,33,56.76,80.32,57.1,40,40,48.94,-13.3,9302.3,4e+05,43,17,2004,NA,8400
"Seoul","South Korea","South Korea","Seoul",2014,"(no system name)","Gangnam-Daero",4.7,57.9,100,100,0,85.7,0,78.9,100,0,66.7,100,100,100,100,57.1,0,100,100,0,100,40,100,33.3,0,100,0,40,0,100,42.9,0,100,100,0,0,0,57,-13.3,-60,0,0,0,0,0,0,0,51,"Basic",NA,"Asia",2176,43,10442426,NA,51,34,56.76,80.32,57.1,40,40,48.94,-13.3,9302.3,4e+05,43,17,2004,NA,8400
"Seoul","South Korea","South Korea","Seoul",2014,"(no system name)","Gyeongin-ro",5.6,52.6,87.5,87.5,0,85.7,0,78.9,100,0,66.7,100,100,100,100,57.1,0,100,100,0,100,40,100,33.3,0,100,0,40,0,100,42.9,0,100,100,0,0,0,55,-13.3,-60,0,0,0,0,0,0,0,49,"Basic",NA,"Asia",2176,43,10442426,NA,49,30,56.76,80.32,57.1,40,40,48.94,-13.3,9302.3,4e+05,43,17,2004,NA,8400
"Seoul","South Korea","South Korea","Seoul",2014,"(no system name)","Susack BRT",20,57.9,100,100,0,85.7,0,78.9,100,0,66.7,100,100,100,100,57.1,0,100,100,0,100,40,100,33.3,0,100,0,40,0,100,57.1,66.7,100,100,0,0,0,59,-13.3,-60,0,0,0,0,0,0,0,53,"Basic",NA,"Asia",2176,43,10442426,NA,53,35,56.76,80.32,57.1,40,40,48.94,-13.3,9302.3,4e+05,43,17,2004,NA,8400
"Seoul","South Korea","South Korea","Seoul",2014,"(no system name)","Yeouidaebang-ro/Siheung-daero",9.5,57.9,100,100,0,85.7,0,78.9,100,0,66.7,100,100,100,100,57.1,0,100,100,0,100,40,100,33.3,0,100,0,40,0,100,42.9,0,100,100,0,0,0,57,-13.3,-60,0,0,0,0,0,0,0,51,"Basic",NA,"Asia",2176,43,10442426,NA,51,31,56.76,80.32,57.1,40,40,48.94,-13.3,9302.3,4e+05,43,17,2004,NA,8400
"Surat","India","India","Surat",2014,"Sitilink","Udhna - Sachin GIDC",10,92.1,87.5,100,100,71.4,100,26.3,0,0,33.3,100,0,50,50,71.4,100,0,66.7,100,100,70,100,100,0,100,100,100,100,100,28.6,66.7,0,33.3,0,50,0,66,-17.8,0,-100,-20,0,0,-66.7,0,0,58,"Bronze",1582,"Asia",1089.9,10,4462002,13,58,37,92.1,26.3,71.4,70,100,28.6,-17.8,1350,13500,10,NA,2014,6,NA
"Urumqi","China","China","Urumuqi",2014,"Urumuqi BRT","Corridor 1 (Beijinglu-Xibeilu-Yangzijianglu)",15.5,81.6,100,100,100,0,100,84.2,100,0,100,100,100,100,100,28.6,0,0,0,100,100,100,100,100,100,100,100,100,100,100,28.6,0,100,33.3,0,0,0,70,-22.2,-100,0,0,0,0,0,0,0,60,"Bronze",7590,"Asia",263,NA,2518000,NA,60,38,81.6,84.2,28.6,100,100,28.6,-22.2,9452.7,380000,40.2,13,2011,87,6950
"Xiamen","China","China","Xiamen",2014,"Xiamen BRT","",51,100,100,100,100,100,100,78.9,100,66.7,100,100,0,100,100,50,0,33.3,100,50,100,80,0,100,100,100,100,100,100,100,28.6,0,100,33.3,0,0,0,77,-6.7,0,0,0,0,-60,0,0,0,74,"Silver",7590,"Asia",1213.7,48.9,1909000,NA,74,39,100,78.9,50,80,100,28.6,-6.7,6953,340000,48.9,27,2008,104,8360
"Yancheng","China","China","Yancheng",2014,"Yancheng BRT","Kaifang Dadao - Jiefang Nanlu",16,81.6,100,100,100,0,100,47.4,100,0,100,0,0,100,0,21.4,0,0,0,50,100,90,100,100,100,0,100,60,66.7,50,21.4,0,66.7,33.3,0,0,0,58,-6.7,-30,0,0,0,0,0,0,0,55,"Bronze",7590,"Asia",895.8,16,760000,NA,55,40,81.6,47.4,21.4,90,60,21.4,-6.7,2062.5,33000,16,18,2010,30,1300
"Yinchuan","China","China","Yinchuan",2014,"Yinchuan BRT","Huanghe East-Nanxun-Qinghe",17,76.3,100,100,100,0,71.4,57.9,100,0,100,100,0,100,0,28.6,0,33.3,0,50,100,100,100,100,100,100,100,60,33.3,100,35.7,0,100,33.3,0,50,0,62,-13.3,-60,0,0,0,0,0,0,0,56,"Bronze",7590,"Asia",433.7,17,1130000,NA,56,41,76.3,57.9,28.6,100,60,35.7,-13.3,5117.6,87000,17,15,2012,63,3600
"Zaozhuang","China","China","Zaozhuang",2014,"Zaozhuang BRT","B1",33.5,65.8,100,62.5,62.5,0,100,84.2,100,100,100,100,0,100,100,21.4,0,0,0,50,100,70,0,100,100,100,0,80,100,50,35.7,0,66.7,66.7,0,50,0,60,-6.7,0,0,0,0,0,-100,0,0,57,"Bronze",7590,"Asia",735.6,33,2258000,NA,57,42,75.31,55.66,21.4,76.02,80,32.98,-13.38,909.1,30000,33,30,2010,27,700
"Zaozhuang","China","China","Zaozhuang",2014,"Zaozhuang BRT","B3",32.2,81.6,100,100,100,0,100,36.8,0,0,100,0,0,100,100,21.4,0,0,0,50,100,80,0,100,100,100,100,80,100,50,28.6,0,66.7,66.7,0,0,0,57,-17.8,0,-100,0,0,0,-100,0,0,49,"Basic",7590,"Asia",735.6,33,2258000,NA,49,44,75.31,55.66,21.4,76.02,80,32.98,-13.38,909.1,30000,33,30,2010,27,700
"Zaozhuang","China","China","Zaozhuang",2014,"Zaozhuang BRT","B5",18.5,81.6,100,100,100,0,100,36.8,0,0,100,0,0,100,100,21.4,0,0,0,50,100,80,0,100,100,100,100,80,100,50,35.7,0,66.7,66.7,0,50,0,58,-17.8,0,-100,0,0,0,-100,0,0,50,"Basic",7590,"Asia",735.6,33,2258000,NA,50,43,75.31,55.66,21.4,76.02,80,32.98,-13.38,909.1,30000,33,30,2010,27,700
"Zhengzhou","China","China","Zhengzhou",2014,"Zhengzhou BRT","(no corridor name)",30.5,81.6,100,100,100,0,100,57.9,100,0,100,100,0,100,0,21.4,0,0,0,50,100,100,100,100,100,100,100,100,100,100,35.7,0,100,33.3,0,50,0,65,-13.3,-60,0,0,0,0,0,0,0,59,"Bronze",7590,"Asia",5813.9,30.5,5872000,NA,59,45,81.6,57.9,21.4,100,100,35.7,-13.3,21311.5,650000,30.5,15,2009,52,5600
"Zhongshan","China","China","Zhongshan",2014,"Zhongshan BRT","Zhongshan 2nd-5th Rd - Jiangling Rd",13,81.6,100,100,100,0,100,57.9,100,0,100,100,0,100,0,35.7,0,33.3,0,100,100,80,0,100,100,100,100,100,100,100,50,33.3,100,100,0,0,0,67,-11.1,0,-100,0,0,0,0,0,0,62,"Bronze",7590,"Asia",NA,NA,NA,NA,62,46,81.6,57.9,35.7,80,100,50,-11.1,NA,NA,NA,NA,NA,NA,NA
